step,globalrag_qwen2.5-3b-it_T_100-critic/rewards/mean_step
1,1.060367345809937
2,1.052596926689148
3,0.98810213804245
4,1.049629092216492
5,0.970464825630188
6,1.038750886917114
7,0.9909202456474304
8,1.0614262819290161
9,1.06550133228302
10,0.9862697720527649
11,0.9782962799072266
12,1.020797371864319
13,0.9637131690979004
14,1.023407697677612
15,0.9706256985664368
16,0.9634815454483032
17,1.004207372665405
18,1.085358858108521
19,0.997520923614502
20,1.051088452339172
21,1.093146920204163
22,1.012079238891602
23,1.022437334060669
24,0.9868878126144409
25,1.103267669677734
26,1.073003768920898
27,1.0655796527862549
28,1.028456449508667
29,1.00607967376709
30,1.083737254142761
31,1.098430991172791
32,1.084726810455322
33,1.111595869064331
34,1.101632475852966
35,1.141500949859619
36,1.151233077049255
37,1.099108457565308
38,1.161685705184937
39,1.083248138427734
40,1.172638177871704
41,1.076212644577026
42,1.191808104515076
43,1.201574683189392
44,1.155419707298279
45,1.149402618408203
46,1.212160348892212
47,1.237749576568604
48,1.304413080215454
49,1.164196372032166
50,1.164299249649048
51,1.206589341163635
52,1.211048483848572
53,1.279042482376099
54,1.289924740791321
55,1.177763342857361
56,1.314359307289124
57,1.246253848075867
58,1.235418796539307
59,1.240985631942749
60,1.231687307357788
61,1.229833006858826
62,1.286141276359558
63,1.38565468788147
64,1.362436413764954
65,1.205071687698364
66,1.1984623670578
67,1.302269220352173
68,1.228149771690369
69,1.269264936447144
70,1.229588150978088
71,1.261757373809814
72,1.241603851318359
73,1.144241809844971
74,1.219757080078125
75,1.145772457122803
76,1.180878877639771
77,1.156086921691895
78,1.175668835639954
79,1.093456745147705
80,1.103411197662354
81,1.085130453109741
82,1.06376039981842
83,1.03556501865387
84,1.064118623733521
85,1.005727052688599
86,1.0615314245224
87,0.9731389880180359
88,0.9307796359062195
89,0.912901759147644
90,0.8953424692153931
91,0.9360431432723999
92,0.8577138781547546
93,0.8162859678268433
94,0.8734041452407837
95,0.7121055722236633
96,0.7651309967041016
97,0.6859211921691895
98,0.7042362093925476
99,0.6295742988586426
100,0.6492635011672974
101,0.6469153165817261
102,0.6550169587135315
103,0.6543781161308289
104,0.5979492664337158
105,0.5535989999771118
106,0.5747388601303101
107,0.5530464053153992
108,0.544562578201294
109,0.548514723777771
110,0.5596946477890015
111,0.4769386649131775
112,0.5392665266990662
113,0.487722635269165
114,0.4885683953762054
115,0.5551586747169495
116,0.4766852855682373
117,0.4273669123649597
118,0.488422691822052
119,0.4875724911689758
120,0.4677365720272064
121,0.4106393754482269
122,0.4677191376686096
123,0.4663761556148529
124,0.4465327858924866
125,0.417608916759491
126,0.4319567084312439
127,0.4385181963443756
128,0.4134518206119537
129,0.4070800840854645
130,0.4825354218482971
131,0.4306429922580719
132,0.4397083818912506
133,0.4887933731079102
134,0.451799064874649
135,0.4318589270114899
136,0.378626674413681
137,0.4578486382961273
138,0.4162330627441406
139,0.4183199405670166
140,0.4018575251102448
141,0.392871081829071
142,0.3957770168781281
143,0.4246364533901215
144,0.4822281002998352
145,0.4643301963806152
146,0.4358744621276855
147,0.4571965634822845
148,0.4146324098110199
149,0.4720140397548676
150,0.4091696739196777
151,0.4120357632637024
152,0.4196324944496155
153,0.4021537899971008
154,0.451930820941925
155,0.4596335291862488
156,0.4188344478607178
157,0.4734043180942535
158,0.3950780630111694
159,0.3449278175830841
160,0.3651111721992493
161,0.5213564038276672
162,0.4446501135826111
163,0.3570757806301117
164,0.4820272922515869
165,0.4944407343864441
166,0.4177895188331604
167,0.5099208950996399
168,0.4411137998104095
169,0.4645152688026428
170,0.4613520503044128
171,0.3847286403179169
172,0.4503218531608582
173,0.4534259736537933
174,0.4862051904201508
175,0.45961993932724
176,0.4580398499965668
177,0.3986383974552155
178,0.4689339697360992
179,0.4314130842685699
180,0.3923316597938538
181,0.3970038294792175
182,0.4157399237155914
183,0.3563435971736908
184,0.4594669342041016
185,0.4703961908817291
186,0.4625774323940277
187,0.4172561764717102
188,0.382871687412262
189,0.3547400832176208
190,0.462543398141861
191,0.4000436365604401
192,0.4625329077243805
193,0.4562790989875793
194,0.4515894949436188
195,0.4000279009342194
196,0.3578377962112427
197,0.4875215590000153
198,0.4172084331512451
199,0.453143298625946
200,0.2922007143497467
201,0.273448646068573
202,0.1343826800584793
203,0.1062548160552979
204,0.1187516674399376
205,0.0937514454126358
206,0.03750104829668999
207,0.02343765459954739
208,0.01875011064112186
209,0.02968761324882507
210,0.02187500894069672
211,0.015625
212,0.00937500037252903
213,0.01250000018626451
214,0.00937500037252903
215,0.00937500037252903
216,0.01718750037252903
217,0.02968749962747097
218,0.04062499850988388
219,0.08281250298023224
220,0.06093750149011612
221,0.05156249925494194
222,0.02656250074505806
223,0.05000000074505806
224,0.01875000074505806
225,0.01093749981373549
226,0.02031249925494194
227,0.006250000093132257
228,0.01875000074505806
229,0.02812499925494194
230,0.04062499850988388
231,0.0859375
232,0.0390625
233,0.05781250074505806
234,0.03281249850988388
235,0.03125
236,0.04531250149011612
237,0.046875
238,0.046875
239,0.0078125
240,0.015625
241,0.006250000093132257
242,0
243,0.006250000093132257
244,0.004687500186264515
245,0.004687500186264515
246,0
247,0.004687500186264515
248,0
249,0.001562500023283064
250,0
251,0
252,0
253,0.003125000046566129
254,0.003125000046566129
255,1.0649001819240672e-10
256,0.003125000046566129
257,0
258,0
259,0
260,0.001562500023283064
261,0.003125000046566129
262,0.003125000046566129
263,0.004687500186264515
