step,grad_norm
1,1.419157481193543
2,1.321665346622467
3,1.380391728878021
4,1.354162681102753
5,1.379672265052795
6,1.2713285684585571
7,1.315281558036804
8,1.341058278083801
9,1.372023916244507
10,1.291784012317657
11,1.299907505512238
12,1.349632072448731
13,1.409378707408905
14,1.28575302362442
15,1.317908155918121
16,1.266574323177338
17,1.309815549850464
18,1.278469204902649
19,1.246192967891693
20,1.24518438577652
21,1.28710110783577
22,1.26498076915741
23,1.273819708824158
24,1.156116318702698
25,1.199622917175293
26,1.174639761447906
27,1.182692742347717
28,1.143653440475464
29,1.11129937171936
30,1.050115686655045
31,1.112932658195496
32,1.111644673347473
33,1.116536837816238
34,1.157946270704269
35,1.047981548309326
36,1.113592851161957
37,1.090916740894318
38,1.03705005645752
39,1.083836799860001
40,1.035261970758438
41,1.043535858392715
42,1.010215890407562
43,1.061903750896454
44,1.092687392234802
45,1.045663118362427
46,0.9955017805099488
47,1.021000277996063
48,1.121965217590332
49,1.180816376209259
50,1.041059827804566
51,1.006449639797211
52,1.03773986697197
53,1.078218680620193
54,1.02477422952652
55,1.012143141031265
56,1.04950407743454
57,1.099499785900116
58,1.095525509119034
59,1.05611515045166
60,1.04980583190918
61,1.16765843629837
62,1.127267199754715
63,1.151998162269592
64,1.059639275074005
65,1.245422518253327
66,1.13759251832962
67,1.085240495204925
68,1.112378489971161
69,1.2376298367977139
70,1.177114915847778
71,1.099577873945236
72,1.051996570825577
73,1.135217517614365
74,1.089293736219406
75,1.196072441339493
76,1.201757299900055
77,1.2994352579116821
78,1.342765974998474
79,1.200588494539261
80,1.1830172717571261
81,1.323552006483078
82,1.148835933208466
83,1.174972701072693
84,1.066990560293198
85,1.125734949111938
86,1.066662168502808
87,1.227677661180496
88,1.187935388088226
89,1.18888748884201
90,1.278005594015121
91,1.2044227004051211
92,1.183506971597672
93,1.176996862888336
94,1.334702014923096
95,1.177257406711578
96,1.144321936368942
97,1.035008323192596
98,1.119462507963181
99,1.2198862135410309
100,1.649996531009674
101,1.431333589553833
102,1.037622809410095
103,1.448305082321167
104,1.367601525783539
105,1.867168283462525
106,1.545968264341354
107,1.058065247535706
108,8.608272624015807
109,1.2294438123703
110,1.1613341152668
111,1.460339111089706
112,1.952583676576614
113,2.556001663208008
114,4.161385118961334
115,0.9294140875339508
116,1.223276442289353
117,1.363889896869659
118,1.101147973537445
119,1.034595346450806
120,1.198913776874542
121,1.119094222784042
122,1.223954808712006
123,1.152820241451263
124,1.120470184087753
125,1.11873300075531
126,0.9132969677448273
127,0.915032023191452
128,1.050465911626816
129,0.995280635356903
130,0.9699953079223633
131,1.163862159848213
132,0.993057769536972
133,1.001896631717682
134,1.466393178701401
135,1.146924871206284
136,1.275409007072449
137,0.9964312255382538
138,0.9793795764446258
139,1.422886145114899
140,1.276957440376282
141,1.020294952392578
142,3.640159422159195
143,1.32201281785965
144,0.848251336812973
145,2.572329932451248
146,1.018772304058075
148,0.9589265763759613
149,0.9865073561668396
150,1.049249470233917
151,1.082995373010635
152,1.6603657126426699
153,1.112103626132011
154,0.8130763024091721
155,0.7168365299701691
156,1.005488151311874
157,0.8892714440822601
158,0.7642665803432465
159,0.7535595029592514
160,0.8880851238965988
161,0.7689580589532852
162,0.7696302533149719
163,0.6860080391168595
164,0.7358381062746048
165,0.6217536807060242
166,0.5918160051107406
167,0.6977501571178436
168,0.5858756393194199
169,0.5538576304912567
170,0.5097220689058304
171,0.5754971474409103
172,0.6853495240211487
173,0.6514843896031379
174,0.5061499357223511
175,0.6060204952955246
176,0.7561438024044037
177,0.5199750661849976
178,0.5505551606416702
179,0.5585755541920662
180,0.7409746736288071
181,0.5859646707773208
182,0.6066446080803871
183,0.6101719677448273
184,0.4731311649084091
185,0.4419929891824722
186,0.6667291134595871
187,0.6737801939249038
188,0.6039805114269257
189,0.6554392576217651
190,0.6089058429002762
191,0.591995969414711
192,0.6155982226133346
193,0.6154708713293076
194,0.692337167263031
195,0.6069633737206459
196,0.6121067762374878
197,0.5283686578273773
198,0.5289827018976212
199,0.4350610036402941
