step,rewards,m,rewards_scaled
1,1.043944120407104,2.580594504025161,0.4045362875797729
2,1.084758520126343,2.578580931475736,0.42068042421516305
3,1.033699750900269,2.5763615492907634,0.4012246461234574
4,1.082511901855469,2.5739160010056947,0.42057001915855213
5,1.079302072525024,2.5712220640606533,0.4197622942067146
6,1.065117120742798,2.568255510825476,0.41472396973479225
7,1.062074542045593,2.564989966502191,0.4140657686446688
8,1.069665431976318,2.5613967657317294,0.41761020638703755
9,1.129764318466187,2.5574448102770146,0.4417551119485602
10,1.026768922805786,2.55310043079783,0.4021655045058005
11,0.99240243434906,2.5483272564824793,0.38943288458127556
12,1.011290311813354,2.5430860971637825,0.3976626323981763
13,1.085813522338867,2.5373348435251772,0.42793465951475346
14,1.025673151016235,2.531028392094262,0.4052396860580283
15,1.036577820777893,2.5241186029158937,0.410669221161171
16,1.052456378936768,2.5165542990745315,0.41821326061742886
17,1.114320397377014,2.50828131856181,0.4442565469554026
18,1.102286577224731,2.499242630308806,0.44104824551929667
19,1.044643759727478,2.4893785274506453,0.4196403834162136
20,1.203888893127441,2.4786269119660105,0.48570798909487106
21,1.252825498580933,2.466923685609724,0.5078493128462079
22,1.163157224655151,2.45420326237623,0.47394494273834054
23,1.203690767288208,2.440399217408504,0.4932351882027012
24,1.167755842208862,2.425445086087019,0.4814604333478469
25,1.256104588508606,2.4092753247646117,0.5213619944542156
26,1.258575677871704,2.3918264410192034,0.5261985804184859
27,1.232550859451294,2.37303829615922,0.5193977954111346
28,1.205266952514648,2.3528555758663448,0.5122570908632404
29,1.16373074054718,2.3312294162142795,0.49919185664574395
30,1.193567037582397,2.30811916190983,0.5171167317872757
31,1.166054964065552,2.283494221693731,0.5106450250619231
32,1.217416048049927,2.257335972868094,0.5393153977443241
33,1.239376783370972,2.2296396535984284,0.5558641645840549
34,1.100335836410522,2.2004161689521884,0.5000580580783901
35,1.196823239326477,2.169693725808008,0.5516093009306059
36,1.136117458343506,2.1375192042000064,0.5315121642468295
37,1.062153935432434,2.10395916980418,0.5048358117763716
38,1.100950479507446,2.069100435469066,0.5320913671635569
39,0.9966699481010436,2.0330500899612725,0.49023383782936164
40,1.102636575698853,1.9959349299229674,0.552441143830981
41,1.012230277061462,1.9579002561799232,0.5169978776326601
42,1.052976012229919,1.9191080268986545,0.5486799062226658
43,0.9967843890190125,1.8797343956999648,0.5302793795225711
44,0.991244912147522,1.839966699966304,0.5387298107980296
