step,rewards,m,rewards_scaled
1,0.5563061237335205,2.580594504025161,0.2155728545751008
2,0.5368505716323853,2.578580931475736,0.2081961303130954
3,0.521791934967041,2.5763615492907634,0.20253055519738022
4,0.5224963426589966,2.5739160010056947,0.20299665663325606
5,0.5606696009635925,2.5712220640606533,0.2180556898606198
6,0.5280348062515259,2.568255510825476,0.2056005736289874
7,0.5874687433242798,2.564989966502191,0.22903354437888715
9,0.5481743812561035,2.5574448102770146,0.2143445594811201
10,0.5161051750183105,2.55310043079783,0.20214840309162083
11,0.4578287601470947,2.5483272564824793,0.1796585422780618
12,0.5308222770690918,2.5430860971637825,0.20873153986453696
13,0.547427773475647,2.5373348435251772,0.21574912545444458
14,0.5167712569236755,2.531028392094262,0.20417442117118284
15,0.5354874730110168,2.5241186029158937,0.2121483009524255
16,0.5098150372505188,2.5165542990745315,0.20258455676398654
17,0.5495744943618774,2.50828131856181,0.21910400970374033
18,0.5647960305213928,2.499242630308806,0.22598687445228427
19,0.5563278794288635,2.4893785274506453,0.22348062911854347
20,0.5935518741607666,2.4786269119660105,0.23946801807698037
21,0.615714430809021,2.466923685609724,0.2495879521529833
22,0.5875236392021179,2.45420326237623,0.23939485706381983
23,0.6208940744400024,2.440399217408504,0.25442315749442795
24,0.6354383826255798,2.425445086087019,0.2619883609283174
25,0.7253930568695068,2.4092753247646117,0.3010835039952847
26,0.6606993675231934,2.3918264410192034,0.2762321530493896
27,0.6526826620101929,2.37303829615922,0.2750409308887111
28,0.7023393511772156,2.3528555758663448,0.2985050839419276
29,0.6545575261116028,2.3312294162142795,0.2807778254508083
30,0.7442764043807983,2.30811916190983,0.32246012972959087
31,0.7583320736885071,2.283494221693731,0.3320928367079603
32,0.7501336336135864,2.257335972868094,0.3323092541959947
33,0.7731360197067261,2.2296396535984284,0.3467537987400598
34,0.7780376672744751,2.2004161689521884,0.3535865979593157
35,0.7883544564247131,2.169693725808008,0.36334826756763783
36,0.7751220464706421,2.1375192042000064,0.36262693918614
37,0.708967387676239,2.10395916980418,0.33696822535877635
38,0.7838340997695923,2.069100435469066,0.37882844463850146
39,0.7016836404800415,2.0330500899612725,0.3451383927748715
40,0.8249805569648743,1.9959349299229674,0.41333038697645025
41,0.7649240493774414,1.9579002561799232,0.39068591311688755
42,0.7983452081680298,1.9191080268986545,0.4159980558562842
