step,rewards,m,rewards_scaled
1,0.9993478655815125,2.580594504025161,0.3872548996065632
2,1.018084049224854,2.578580931475736,0.39482338397740296
3,1.022749185562134,2.5763615492907634,0.3969742468186123
4,1.012155294418335,2.5739160010056947,0.3932355578126326
5,1.006255507469177,2.5712220640606533,0.39135301518066007
6,0.9743592143058776,2.568255510825476,0.37938562195188436
7,0.9809924364089966,2.564989966502191,0.3824546876285641
9,0.9953630566596984,2.5574448102770146,0.3892021648560556
10,0.9922689199447632,2.55310043079783,0.38865252145004126
11,1.046293258666992,2.5483272564824793,0.4105804134870876
12,0.9742223620414734,2.5430860971637825,0.3830866611743859
13,1.022110223770142,2.5373348435251772,0.4028282772289135
14,0.9715642929077148,2.531028392094262,0.38386147541545684
15,0.9741576313972472,2.5241186029158937,0.38593972179908187
16,0.9905378222465516,2.5165542990745315,0.39360876203260314
17,0.9867864847183228,2.50828131856181,0.39341140780975997
18,1.013326287269592,2.499242630308806,0.4054533461380601
19,0.9635224342346193,2.4893785274506453,0.38705340453842335
20,0.9582197070121764,2.4786269119660105,0.38659295692554657
21,0.9737509489059448,2.466923685609724,0.39472276932850187
22,0.9749934077262878,2.45420326237623,0.3972749212232206
23,0.9339756965637208,2.440399217408504,0.3827143075203587
24,0.9970877766609192,2.425445086087019,0.41109476457763267
25,0.9150552749633788,2.4092753247646117,0.3798051910288752
26,0.9468783140182496,2.3918264410192034,0.39588086233161907
27,0.9856667518615724,2.37303829615922,0.4153606595632617
28,0.940118968486786,2.3528555758663448,0.3995650978877549
29,0.904921531677246,2.3312294162142795,0.3881735213974618
30,0.9225589632987976,2.30811916190983,0.3997016178902286
31,0.9219226837158204,2.283494221693731,0.4037333114125442
32,0.9862049221992492,2.257335972868094,0.4368888521925298
33,0.901849091053009,2.2296396535984284,0.4044819931317195
34,0.9637095332145692,2.2004161689521884,0.4379669386239222
35,0.8899631500244141,2.169693725808008,0.41017916005310195
36,0.894677996635437,2.1375192042000064,0.418559044932783
37,0.8755775690078735,2.10395916980418,0.4161571106388749
38,0.873828113079071,2.069100435469066,0.42232271478932526
39,0.8659886121749878,2.0330500899612725,0.4259553743663463
40,0.8867756724357605,1.9959349299229674,0.44429087298451425
41,0.8326835632324219,1.9579002561799232,0.4252941694062997
42,0.8105327486991882,1.9191080268986545,0.42234868352306226
43,0.8340736627578735,1.8797343956999648,0.44371889170399836
44,0.7813409566879272,1.839966699966304,0.42464950952766495
45,0.7489141225814819,1.8,0.4160634014341566
46,0.7304620742797852,1.760033300033696,0.415027416961827
47,0.676824688911438,1.7202656043000355,0.39344197036761275
48,0.7267025113105774,1.6808919731013456,0.43233147813167794
49,0.6306291222572327,1.6420997438200768,0.38403825628166594
50,0.7111111283302307,1.6040650700770327,0.4433181306641636
51,0.6954946517944336,1.5669499100387272,0.4438525107527173
52,0.6026692986488342,1.5308995645309342,0.3936700438173365
53,0.6278740167617798,1.4960408301958201,0.41969042828837494
54,0.6302082538604736,1.4624807957999937,0.43091728497928244
55,0.5313864350318909,1.430306274191992,0.3715193344391092
56,0.5722871422767639,1.3995838310478117,0.40889808068753963
57,0.5751697421073914,1.370360346401572,0.41972153063077833
58,0.5534961223602295,1.3426640271319061,0.4122372471261963
59,0.4729260802268982,1.3165057783062692,0.35922826015646825
60,0.5173090696334839,1.29188083809017,0.4004309487229789
61,0.5029867887496948,1.2687705837857208,0.3964363575083034
62,0.497763067483902,1.2471444241336556,0.39912223304023453
63,0.5226951837539673,1.2269617038407805,0.4260077410059051
64,0.4619714319705963,1.2081735589807967,0.38237174496709797
65,0.4727467000484467,1.1907246752353882,0.39702435825896687
66,0.4842496514320374,1.1745549139129807,0.4122835345507856
67,0.4923498034477234,1.1596007825914962,0.42458560811541657
68,0.456592321395874,1.1457967376237699,0.3984932985084124
69,0.4255069196224213,1.1330763143902758,0.3755324458012279
70,0.4059084951877594,1.1213730880339896,0.36197452883357945
71,0.4042585790157318,1.1106214725493548,0.3639931236767683
72,0.3944740295410156,1.1007573696911943,0.3583660127133022
73,0.3835439383983612,1.09171868143819,0.35132121939426236
74,0.3874009847640991,1.0834457009254683,0.3575638210878359
75,0.4562483727931976,1.0758813970841068,0.4240693946653773
76,0.4018408358097076,1.0689716079057379,0.3759134787470819
77,0.3302570283412933,1.062665156474823,0.3107818359612488
78,0.398027628660202,1.056913902836218,0.3765941838707002
79,0.4113990664482117,1.0516727435175208,0.3911854414636713
80,0.3336009681224823,1.04689956920217,0.3186561327718529
81,0.3834566175937653,1.0425551897229854,0.3678046221185207
82,0.3972705006599426,1.0386032342682707,0.3825045864986473
83,0.3800806999206543,1.0350100334978087,0.3672241694471061
84,0.3705585300922394,1.031744489174524,0.35915726614514326
85,0.3955924212932587,1.0287779359393465,0.384526541125763
86,0.3812139630317688,1.0260839989943056,0.3715231534702886
87,0.4159671664237976,1.0236384507092369,0.4063614122111094
88,0.4246909618377686,1.0214190685242637,0.41578522951540153
89,0.3830007314682007,1.0194054959748389,0.3757098946204367
90,0.4237074851989746,1.0175791082089491,0.4163877597140789
91,0.4071206152439117,1.015922882987047,0.4007396841450046
92,0.3749200105667114,1.0144212778445565,0.3695900497703892
93,0.398405134677887,1.013060113845056,0.3932689968078456
94,0.3994466662406921,1.0118264661508511,0.39477783948491757
95,0.3715508580207825,1.0107085614788558,0.3676142383489204
96,0.4036288857460022,1.0096956823865346,0.3997530075517188
97,0.4061792492866516,1.0087780782391207,0.4026448017146254
98,0.389939159154892,1.0079468826400912,0.3868647900706173
99,0.3784824013710022,1.0071940370575059,0.37577903308157956
100,0.4163680672645569,1.0065122203454338,0.4136741301776345
101,0.3448720276355743,1.0058947838390975,0.3428509951302619
102,0.3905393183231354,1.0053356916918614,0.38846658041743626
103,0.4026797413825989,1.0048294661195334,0.4007443600730321
104,0.3585976660251617,1.0043711372208177,0.35703700826910717
105,0.3754869401454926,1.0039561970506157,0.3740072935936686
106,0.4283668100833893,1.0035805576340422,0.42683849026855514
107,0.4390808641910553,1.0032405126224797,0.4376626129693407
108,0.4262946248054504,1.0029327023079886,0.42504808530467125
109,0.3582108020782471,1.002654081728279,0.3572625979448442
110,0.3791202902793884,1.002401891610779,0.3782118663704561
111,0.3945211470127106,1.0021736319206864,0.39366546319583634
112,0.3990665376186371,1.001967037794044,0.39828309970878095
113,0.4028542935848236,1.0017800576525766,0.40213846393470126
114,0.4457556307315826,1.001610833312137,0.4450387474919309
115,0.3924389481544495,1.001457681911041,0.39186772965341304
116,0.4869258403778076,1.0013190794982372,0.4862843926052094
117,0.4071529805660248,1.0011936461341386,0.4066675634010915
118,0.4000232219696045,1.0010801323690126,0.39959161013710953
119,0.4296301901340485,1.000977406975095,0.42921067662493007
120,0.4108121395111084,1.0008844458190778,0.41044911950341945
121,0.451365053653717,1.0008003217713273,0.451004105249328
122,0.4286769330501556,1.0007241955571848,0.4283667117806382
123,0.3778208792209625,1.0006553074639777,0.3775734525193268
124,0.4465542435646057,1.0005929698250022,0.44628960729426814
125,0.3988421559333801,1.0005365602087464,0.3986282678667613
126,0.4230217039585114,1.0004855152480463,0.4228164201394094
127,0.4175151884555817,1.000439325049762,0.4173318441223953
128,0.4385844767093658,1.000397528130943,0.438410196323435
129,0.4768382906913757,1.0003597068323733,0.4766668303757238
130,0.426804393529892,1.0003254831648882,0.42666552108574035
131,0.3924000859260559,1.0002945150479414,0.3922845522223515
132,0.4267687797546387,1.0002664929036438,0.42665507920372736
133,0.4204966127872467,1.0002411365728956,0.4203952401197826
134,0.4400137066841125,1.000218192523327,0.4399177199267454
135,0.4399926662445068,1.000197431321578,0.43990581505807
136,0.4704503417015076,1.0001786453450072,0.470366312949251
137,0.4688740670681,1.0001616467102525,0.46879828736717505
138,0.4579249918460846,1.0001462653981634,0.4578580230600394
139,0.4454165995121002,1.0001323475565627,0.4453576575143317
140,0.4047769606113434,1.000119753964017,0.40472849276998357
141,0.4625846445560455,1.0001083586393917,0.4625345249442508
142,0.4742943346500397,1.0000980475833865,0.47424783579581364
143,0.4094422459602356,1.0000887176395565,0.40940592443299945
144,0.4735000729560852,1.000080275463494,0.47346206556932474
145,0.4219304621219635,1.000072636589924,0.42189981675798466
146,0.4562996923923492,1.0000657245884237,0.4562697042538269
147,0.4367634356021881,1.0000594702993646,0.43673746269453795
148,0.4594159126281738,1.000053811142462,0.4593911922632811
149,0.3836297392845154,1.0000486904910408,0.383611061073583
150,0.4406589567661285,1.0000440571057834,0.4406395434631498
151,0.4437808990478516,1.000039864622303,0.443763208595149
152,0.463309109210968,1.0000360710874407,0.4632923977503781
153,0.4531504511833191,1.0000326385396479,0.45313566149706547
154,0.4117417931556702,1.000029532629273,0.4117296336970376
155,0.4461145997047424,1.000026722274957,0.4461026788262997
156,0.3914244174957275,1.0000241793527056,0.3914149533355165
157,0.4586110711097717,1.0000218784145354,0.45860103764616367
158,0.4687655568122864,1.000019796433879,0.4687562771096412
159,0.4547011256217957,1.0000179125752082,0.4546929808995787
160,0.4437626302242279,1.0000162079855694,0.443755437842495
161,0.4593864381313324,1.0000146656059519,0.45937970104965453
162,0.4578229784965515,1.0000132700005981,0.45781690326597135
163,0.4781343936920166,1.0000120072025553,0.47812865270443605
164,0.4632895886898041,1.000010864573917,0.46328455530050844
165,0.4992263913154602,1.0000098306793634,0.49922148362912333
166,0.477350652217865,1.0000088951717339,0.47734640613960583
167,0.4828187525272369,1.0000080486884828,0.48281486650078154
168,0.4796931147575378,1.0000072827579918,0.47968962129411474
169,0.5023490190505981,1.0000065897147918,0.5023457087356507
170,0.4507857859134674,1.0000059626228548,0.45078309806386435
171,0.4421916902065277,1.0000053952061818,0.4421893045040585
172,0.4703163206577301,1.000004881785998,0.4703140246853098
173,0.4562534391880035,1.0000044172239204,0.4562514238233005
174,0.4804717898368835,1.000003996870537,0.48046986946101833
175,0.5289091467857361,1.0000036165188766,0.5289072339827404
176,0.5054713487625122,1.0000032723623065,0.5054696946825362
