step,global_rag_train-n3-2025-12-10-critic/rewards/mean_step
1,0.9823349118232727
2,1.000187993049622
3,1.003498435020447
4,1.011121153831482
5,1.014625906944275
6,1.002999186515808
7,0.9848878979682922
8,0.933033287525177
9,0.9916974902153015
10,0.998528778553009
11,1.003355026245117
12,0.9717441201210022
13,1.007077217102051
14,0.9777631759643555
15,0.9511520266532898
16,0.9512701034545898
17,0.967142641544342
18,0.9720593094825745
19,0.91444993019104
20,0.9401453137397766
21,0.9285300374031067
22,0.9526006579399109
23,0.9081822037696838
24,1.00111186504364
25,0.9042096138000488
26,0.9483540058135986
27,0.9507245421409607
28,0.8907365798950195
29,0.8969116806983948
30,0.9223865866661072
31,0.9171810150146484
32,0.9343760013580322
33,0.8813924193382263
34,0.9103228449821472
35,0.8439661860466003
36,0.8419029116630554
37,0.7946298718452454
38,0.7765256762504578
39,0.7393233776092529
40,0.7599793076515198
41,0.7423806190490723
42,0.7236905097961426
43,0.7098721861839294
44,0.6776648163795471
45,0.6669929027557373
46,0.6523601412773132
47,0.6280650496482849
48,0.6133795380592346
49,0.5423097014427185
50,0.6172187924385071
51,0.6040970683097839
52,0.5500102639198303
53,0.5403639674186707
54,0.5622756481170654
55,0.4665650427341461
56,0.4917800724506378
57,0.5080972909927368
58,0.5102391839027405
59,0.4220501482486725
60,0.4686256647109985
61,0.4297350347042084
62,0.4279550015926361
63,0.4515010416507721
64,0.4149385690689087
65,0.4157131612300873
66,0.4265333116054535
67,0.4302140772342682
68,0.4101675450801849
69,0.3882153928279877
70,0.3661612272262573
71,0.3674638271331787
72,0.3681289255619049
73,0.3510251045227051
74,0.3336787223815918
75,0.4127276241779327
76,0.3287734687328339
77,0.3014093637466431
78,0.3468994796276093
79,0.3626185953617096
80,0.3135969042778015
81,0.3517756760120392
82,0.3521623909473419
83,0.3488688766956329
84,0.3463114798069
85,0.3409731686115265
86,0.3699429035186768
87,0.3951488733291626
88,0.3665476143360138
89,0.339603990316391
90,0.3938001692295074
91,0.376672774553299
92,0.3457753360271454
93,0.3577109277248383
94,0.3762036561965942
95,0.3379327952861786
96,0.3735475838184357
97,0.3807801306247711
98,0.3477498292922974
99,0.3524787425994873
100,0.3676060438156128
101,0.3178510069847107
102,0.3447469174861908
103,0.3717045485973358
104,0.327126532793045
105,0.3438242971897125
106,0.3969568908214569
107,0.401976078748703
108,0.3990835249423981
109,0.3442779779434204
110,0.3337049186229706
111,0.3308896124362946
112,0.381508082151413
113,0.3866139352321625
114,0.4282247126102448
115,0.3577355146408081
116,0.4267093241214752
117,0.356319397687912
118,0.3731612265110016
119,0.4056110680103302
120,0.3795246183872223
121,0.415913462638855
122,0.383343368768692
123,0.3455022275447845
124,0.4040825366973877
125,0.3623603880405426
126,0.381855845451355
127,0.3883348405361176
128,0.4039311408996582
129,0.4273450672626495
130,0.3921564817428589
131,0.3686918020248413
132,0.3712880909442902
133,0.3973109722137451
134,0.3725590407848358
135,0.388165146112442
136,0.4272146224975586
137,0.4558484852313995
138,0.3933392465114594
139,0.3959331214427948
140,0.3802955150604248
141,0.4128418862819672
142,0.4544991552829742
143,0.3724612891674042
144,0.4336543381214142
145,0.405001312494278
146,0.4180169999599457
147,0.3945751190185547
148,0.407591849565506
149,0.3437852561473846
150,0.4206063747406006
151,0.4310198128223419
152,0.4010686874389648
153,0.4258060455322266
154,0.3815325796604156
155,0.408874124288559
156,0.3554864823818207
157,0.4270999133586884
158,0.4244942367076874
159,0.3932424485683441
160,0.4218873083591461
161,0.428396463394165
162,0.4336038827896118
163,0.4401133358478546
164,0.4336018860340118
165,0.4622469842433929
166,0.4336005449295044
167,0.4427144527435303
168,0.4166721999645233
169,0.4583384096622467
170,0.4062545001506805
