step,global_rag_train-n1-2025-12-09-critic/rewards/mean_step
1,1.011934399604797
2,0.9897589683532715
3,1.001594066619873
4,1.0303927659988399
5,0.9330712556838989
6,0.9425644278526306
7,1.038344979286194
8,0.9495688080787659
9,1.003719687461853
10,0.9505775570869446
11,1.013304233551025
12,0.9779154658317566
13,1.02928614616394
14,0.9322344064712524
15,0.9103689193725586
16,0.9659854173660278
17,0.946701169013977
18,0.9837219715118408
19,0.9513205289840698
20,0.9410942196846008
21,0.9344176650047302
22,1.008152008056641
23,0.8997794389724731
24,0.9526909589767456
25,0.9166133999824524
26,0.8789371252059937
27,0.9472344517707825
28,0.8492894172668457
29,0.7937257885932922
30,0.8658067584037781
31,0.8707825541496277
32,0.8462317585945129
33,0.8279592990875244
34,0.8704158067703247
35,0.8121026754379272
36,0.7628704309463501
37,0.7681162357330322
38,0.7145217657089233
39,0.7296045422554016
40,0.7937001585960388
41,0.6887568831443787
42,0.6825764179229736
43,0.6805843114852905
44,0.6756347417831421
45,0.5999921560287476
46,0.5719156861305237
47,0.5645436644554138
48,0.5402991771697998
49,0.5222805738449097
50,0.5608878135681152
51,0.5531473159790039
52,0.4930488467216492
53,0.4641284346580505
54,0.4715668261051178
55,0.4171819090843201
56,0.4329894781112671
57,0.439469039440155
58,0.38308185338974
59,0.3654350340366364
60,0.3598604798316956
61,0.3626161813735962
62,0.4038007855415344
63,0.3260766267776489
64,0.3563538193702698
65,0.3486986458301544
66,0.3019331991672516
67,0.309929758310318
68,0.3552318215370178
69,0.3067328333854675
70,0.3045547604560852
71,0.3252640068531036
72,0.3161072432994843
73,0.2436805963516235
74,0.2652921080589294
75,0.3392434418201447
76,0.321887880563736
77,0.2561867535114288
78,0.2541465759277344
79,0.304222047328949
80,0.271390289068222
81,0.2917255461215973
82,0.2850403487682343
83,0.2867744266986847
84,0.3037172257900238
85,0.3224591612815857
86,0.2976177036762238
87,0.2963204979896545
88,0.2822334170341492
89,0.2936515212059021
90,0.3512402772903442
91,0.3071249723434448
92,0.2902577221393585
93,0.3245592713356018
94,0.3078773021697998
95,0.2838578224182129
96,0.3419674932956696
97,0.3412759602069855
98,0.290097177028656
99,0.2660213708877563
100,0.3204667866230011
101,0.2341839671134949
102,0.3042007684707642
103,0.2880788147449493
104,0.276075541973114
105,0.2798459827899933
106,0.3420686423778534
107,0.3223264813423157
108,0.368990421295166
109,0.2868393957614899
110,0.2983760833740234
111,0.2981753945350647
112,0.3058615624904633
113,0.2862147688865662
114,0.3369476497173309
115,0.3055863976478577
116,0.3680172264575958
117,0.2703042030334473
118,0.2389591336250305
119,0.3482462167739868
120,0.3794440627098083
121,0.3481361269950867
122,0.3520282506942749
123,0.2738227248191833
124,0.3870995938777924
125,0.3323680758476257
126,0.3479642868041992
127,0.2932398915290833
128,0.3478938937187195
129,0.3791252076625824
130,0.3400445580482483
131,0.2736101150512695
132,0.3400059044361115
133,0.3204597532749176
134,0.3477972745895386
135,0.3634001314640045
136,0.36729696393013
137,0.3711926341056824
138,0.3321194648742676
139,0.3633642792701721
140,0.3164790868759155
141,0.4024114012718201
142,0.3711517751216888
143,0.3008345365524292
144,0.4062990844249725
145,0.328170508146286
146,0.3125396370887756
147,0.347693145275116
148,0.3476885855197906
149,0.3320584893226624
150,0.335963249206543
151,0.3437731564044952
152,0.3281446397304535
153,0.378925621509552
154,0.3242351710796356
155,0.3711092472076416
156,0.3320444822311401
157,0.3515750765800476
158,0.3711044490337372
159,0.3671968281269073
160,0.3711020648479462
161,0.3945387303829193
162,0.3867255449295044
163,0.3593810200691223
164,0.3593805134296417
165,0.4023491144180298
166,0.3867229819297791
167,0.363285094499588
168,0.4140661656856537
169,0.4140659272670746
170,0.3554717600345612
171,0.3554715216159821
172,0.4101588428020477
173,0.3437522053718567
174,0.3710958957672119
175,0.3671894371509552
176,0.3828142285346985
177,0.4179703593254089
178,0.3398451209068298
179,0.3046887516975403
180,0.3984386622905731
181,0.3437510132789612
182,0.3750008940696716
183,0.3046882748603821
184,0.3515632450580597
185,0.3125006556510925
186,0.3203130662441254
187,0.390625536441803
188,0.3242192268371582
189,0.3867192268371582
190,0.3085941672325134
191,0.3984378576278687
192,0.3554690778255463
193,0.3671877682209015
194,0.3515627384185791
195,0.3710940182209015
196,0.3398439884185791
197,0.3671877384185791
198,0.3789064288139343
199,0.3750001788139343
200,0.3515626192092896
201,0.3789064288139343
202,0.4257813692092896
203,0.4062500894069672
204,0.3906250298023224
205,0.3710938096046448
206,0.3632812798023224
207,0.3320312798023224
208,0.40625
209,0.3867187798023224
210,0.3710937798023224
211,0.3710937798023224
212,0.3671875298023224
213,0.453125
214,0.27734375
215,0.37890625
216,0.35546875
217,0.4375
218,0.3515625
219,0.34765625
220,0.37109375
221,0.37890625
222,0.390625
223,0.38671875
224,0.375
225,0.375
226,0.390625
227,0.37109375
228,0.4140625
229,0.34375
230,0.40625
231,0.46875
232,0.33984375
233,0.38671875
234,0.39453125
235,0.37890625
236,0.37890625
237,0.421875
238,0.3984375
239,0.42578125
240,0.38671875
241,0.34765625
242,0.421875
243,0.34765625
244,0.40234375
245,0.41796875
246,0.3984375
247,0.375
248,0.35546875
249,0.37890625
250,0.4375
251,0.37109375
252,0.375
253,0.3828125
254,0.34765625
255,0.40234375
256,0.35546875
257,0.390625
258,0.37109375
259,0.41796875
260,0.40234375
261,0.37890625
262,0.44140625
263,0.33984375
264,0.421875
265,0.34375
266,0.4296875
267,0.390625
268,0.37890625
269,0.4453125
270,0.38671875
271,0.33984375
272,0.35546875
273,0.41796875
274,0.39453125
275,0.4296875
276,0.4609375
277,0.44921875
278,0.39453125
279,0.4140625
280,0.41796875
281,0.40234375
282,0.4140625
283,0.359375
284,0.40234375
285,0.43359375
286,0.35546875
287,0.3984375
288,0.34765625
289,0.3984375
290,0.40625
291,0.37109375
292,0.42578125
293,0.44140625
294,0.4140625
295,0.41015625
296,0.39453125
297,0.390625
298,0.42578125
299,0.41796875
300,0.34765625
301,0.3984375
302,0.37890625
303,0.390625
304,0.42578125
305,0.3984375
306,0.421875
307,0.36328125
308,0.375
309,0.4296875
310,0.34375
311,0.390625
312,0.38671875
313,0.4609375
314,0.36328125
315,0.41015625
316,0.3984375
317,0.38671875
318,0.43359375
319,0.42578125
320,0.3984375
321,0.40234375
322,0.37109375
323,0.42578125
324,0.421875
325,0.390625
326,0.3828125
327,0.4140625
328,0.3984375
329,0.43359375
