step,searchr1_qwen2.5-7b_2025-12-16-timing_per_token_ms/update_actor_step
1,0.1219000231735347
2,0.111091825791795
3,0.1135982087821972
4,0.1102992591465766
5,0.1123169995050179
6,0.105745162039155
7,0.1095980102163192
8,0.1077337899186206
9,0.1101730995550854
10,0.1078435567787623
11,0.1076136853263132
12,0.1074515451634684
13,0.1085145941093106
14,0.1099402049183872
15,0.1110315261028145
16,0.1105774750953992
17,0.1098282083729143
18,0.1106213975671719
19,0.1122211691749978
20,0.111686262651872
21,0.1076323527164434
22,0.1140315075215002
23,0.109364237612749
24,0.1106397875592282
25,0.1120979795957043
26,0.1111128802190664
27,0.1091738510470305
28,0.1113521020849732
29,0.1114992942037905
30,0.1079555853348177
31,0.1120826422261206
32,0.1119705073263944
33,0.1099476794754543
34,0.1100324182521836
35,0.1110634563805769
36,0.11129022460629
37,0.1122870328334185
38,0.1105876324371733
39,0.1088680700817631
40,0.1081323833444693
41,0.1095643222187337
42,0.1113177604554686
43,0.1088771169424179
44,0.112163699800015
45,0.1081490762727221
46,0.1091133007337461
47,0.1075907913068247
48,0.1100095757690241
49,0.1064650427654583
50,0.1112348477693886
51,0.1086048910895771
52,0.1097324884558718
53,0.1087011194538355
54,0.1123413573739195
55,0.1075244176183406
56,0.1085556879245202
57,0.1083872136421107
58,0.1081418977532933
59,0.1108428583521605
60,0.1105997239474519
61,0.1057697941445094
62,0.1084489069697808
63,0.1048840544922803
64,0.1041181005583942
65,0.1062278094685372
66,0.1065337239991592
67,0.1056388299610743
68,0.1078963235319453
69,0.1071990149829735
70,0.1056122267636461
71,0.1065551498652489
72,0.1049612517652958
73,0.1089181883839821
74,0.1058028032698836
75,0.1074782950393607
76,0.1033887810787596
77,0.1056993395882078
78,0.1065295788044359
79,0.1039811472914958
80,0.1092394726854211
81,0.1040204078832453
82,0.1073119751559465
83,0.1041972785552571
84,0.1059516356808484
85,0.1049347110603106
86,0.1023044863299161
87,0.1044923371848687
88,0.1047748009155223
89,0.1020947966857463
90,0.1052868836331671
91,0.1043524409978147
92,0.1063567300467105
93,0.1042086735169462
94,0.104298142802694
95,0.1025172840310563
96,0.1004931877750089
97,0.100885908361007
98,0.1029528767131103
99,0.1009204542554191
100,0.1039267675055672
101,0.09907484422626105
102,0.1036097090521822
103,0.1051225249019562
104,0.1040409180882635
105,0.1003331637861981
106,0.1024672385368023
107,0.1011436715959779
108,0.1028697756058893
109,0.1011604023316162
110,0.1017236427863142
111,0.1009367760182739
112,0.09935434057187752
113,0.1018746552139852
114,0.1018172917792451
115,0.1021269292111585
116,0.1011746528245063
117,0.1015789745693023
118,0.1001790036923174
119,0.1035291691850137
120,0.09836381209655604
121,0.09789284249027698
122,0.0984254387654991
123,0.09970786429204773
124,0.09974454679986489
125,0.1001804047637574
126,0.09868098463490678
127,0.1029314999129688
128,0.1012021893890763
129,0.09882374266562712
130,0.1001105113320794
131,0.1013225061324945
132,0.09902018924115723
133,0.1002579791566258
134,0.1007069672976743
135,0.1011665195830729
136,0.09875727339676495
137,0.1005691510125614
138,0.10298938543501
139,0.09935187257556297
140,0.09980503702896794
141,0.1015543232645396
142,0.100053561654238
143,0.09964079363142168
144,0.1026927267959099
145,0.1009726196695168
146,0.0998293096221392
147,0.09991014832647482
148,0.09912631167746257
149,0.1025289352716428
150,0.1027096319138002
151,0.1026295639664948
152,0.102730315052334
153,0.1000239407184047
154,0.1005157384330225
155,0.1001468853177685
156,0.1000149705510719
157,0.1020426307903937
158,0.1020789443369444
159,0.1014380982191051
160,0.09749036249337496
161,0.09731559441824508
162,0.09959736987467831
163,0.09852925646488489
164,0.1002899164763641
165,0.09958318633339376
166,0.09697771783279517
167,0.100263092884139
168,0.1000795195374939
169,0.09967342230143705
170,0.1006406028496383
171,0.1014274805838939
172,0.1060396120393506
173,0.1117944433682558
174,0.1092295571246228
175,0.1067038129932482
176,0.1047933245213218
177,0.1050178143774535
178,0.1081603802785465
179,0.1105961174476747
