step,adv_step
1,0.001236613532845478
2,0.001137117044682245
3,0.001121926143111312
4,0.001150889427301066
5,0.001339760231162559
6,0.00120449568956839
7,0.001206214651959896
8,0.001290122109122521
9,0.001228402997858319
10,0.001160554272318348
11,0.001200986409302396
12,0.001135778469616974
13,0.001153833667444714
14,0.001285090024433929
15,0.001208970718849639
16,0.001246970393094004
17,0.001342675709904269
18,0.001433603360597792
19,0.00130970621634551
20,0.001231107645234009
21,0.001431267059126818
22,0.001181392894653408
23,0.001179942388903009
24,0.001140395374695665
25,0.001509093589173724
26,0.00119884226247562
27,0.001211289142102105
28,0.00116007369127788
29,0.00117528373171483
30,0.00139680387387497
31,0.001163615318380094
32,0.00177895617910973
33,0.001360333659590427
34,0.001347814586841762
35,0.00120773423973234
36,0.001193768889655227
37,0.001584758498092768
38,0.001146358370688527
39,0.001212355774067926
40,0.001110639011700848
41,0.001577373308475297
42,0.001202984736495244
43,0.001166929277639752
44,0.001160270985659001
45,0.001197836639394234
46,0.001182975550226682
47,0.001124122586576338
48,0.001323353228178748
49,0.001223362604354419
50,0.001154121806005447
51,0.001169837311595616
52,0.001148567327839969
53,0.001129962137054433
54,0.001113503857198478
55,0.00109674207496519
56,0.001181653808312651
57,0.0011880021716488
58,0.00116189736193135
59,0.001139808131198479
60,0.00110344199526375
61,0.001793989344775269
62,0.001127502674672343
63,0.001141717117777982
64,0.001155649943342979
65,0.001166706956802942
66,0.001152776892537437
67,0.001178433771249822
68,0.001719946194000208
69,0.001106957704183854
70,0.001175772837177856
71,0.001423974528801454
72,0.001131260706764575
73,0.0012124793573636
74,0.001069658041344461
75,0.00150656703661418
76,0.001172076947246781
77,0.001151614320529474
78,0.001121580628443512
79,0.001410688606327317
80,0.001121578206919382
81,0.001106058321792951
82,0.001143632350467032
83,0.001175363890707864
84,0.00111357568201144
85,0.001099162145195436
86,0.001140353673907442
87,0.001313996488989915
88,0.00117043854883474
89,0.001142218819215936
90,0.001128257093304761
91,0.001063321944875327
92,0.001231298047322464
93,0.001136472894242458
94,0.001094380931159718
95,0.001140771360939178
96,0.001111011887731322
97,0.001167291755129129
98,0.001100014581005801
99,0.001058071407300469
100,0.001117271728823168
101,0.00111721403311828
102,0.001137978802312965
103,0.00135990429377088
104,0.001107075440516048
105,0.001118805144924637
106,0.001105089454723225
107,0.001030567412891616
108,0.001101636052008469
109,0.001100712669204824
110,0.001135019282859154
111,0.001041874802291725
112,0.001092597215123977
113,0.001406821579136896
114,0.001102611987384802
115,0.001104412594555308
116,0.001091653131976441
117,0.001380851615322444
118,0.001118839627499787
119,0.001116257964952671
120,0.001102165594996342
121,0.001126312438781732
122,0.001260729947795762
123,0.001105219648697181
124,0.001399162255425582
125,0.001147274960453344
126,0.001065660160735211
127,0.001169322633866921
128,0.001273212375404529
129,0.001104042292428826
130,0.001374110728976439
131,0.00110113091956694
132,0.001132850542633908
133,0.001118677024592675
134,0.001354283737772688
135,0.001094459743477139
136,0.001069872657608885
137,0.001121340783513615
138,0.001333351098539439
139,0.001145415259904539
140,0.001104908186085912
141,0.001350907368918373
142,0.001061806110306365
143,0.001174584624009098
144,0.001166030669666322
145,0.001369580267151046
146,0.001161569908539182
147,0.001304819786059517
148,0.001093846137844527
149,0.001127711802572551
150,0.001098463203310717
151,0.001077250689667947
152,0.001082927082841106
153,0.001045415208109403
154,0.001473722388014484
155,0.001139507653774802
156,0.001087687061061889
157,0.001147441223925956
158,0.001416162426450087
159,0.001198216664479641
160,0.001048651457860951
161,0.001078369437014077
162,0.001127999444869481
163,0.001086952688011965
164,0.001366802587292825
165,0.001093343003783662
166,0.001103150198404497
167,0.001278634372266618
168,0.001199144551147128
169,0.001429393428319757
170,0.001124006376840388
171,0.001084388470575524
172,0.001524939865892084
173,0.001259201891238731
174,0.001242766224411444
175,0.001328876411190103
176,0.001170159326471587
177,0.001149831747628684
178,0.001151424718019736
179,0.001167159358882907
