step,global-rag__qwen2.5-7b__2025-09-30-timing_per_token_ms/gen_step
1,0.318602201247438
2,0.3091128881004505
3,0.3092143309938942
4,0.3113762117059315
5,0.3105416246570213
6,0.3000381644072941
7,0.3083526692888564
8,0.3099197781535865
9,0.3074734957724938
10,0.3066935883834055
11,0.3159347307906981
12,0.3080943018771676
13,0.3078640950858662
14,0.3082262057162048
15,0.3091424106251021
16,0.3072200195373453
17,0.3064959644930434
18,0.3089567607177502
19,0.3038330554731467
20,0.3033633061425006
21,0.3068060178887848
22,0.2994615683394413
23,0.2972011237236049
24,0.3032890995582489
25,0.2948531862282065
26,0.2933289788231289
27,0.2940971649004423
28,0.2956218590790229
29,0.2918844044982838
30,0.298761603667293
31,0.2993132236633211
32,0.2833995892960994
33,0.287841764827073
34,0.2944792817650841
35,0.2851828407751176
36,0.2856459223067685
37,0.2920684073659005
38,0.2945145208625908
39,0.2930363688058361
40,0.2872133196215172
41,0.2960745109575244
42,0.2910177100842731
43,0.2864463433056297
44,0.2873101131339539
45,0.2910409520384807
46,0.2858849966499115
47,0.2897975354994068
48,0.2926279199463595
49,0.287860899377449
50,0.2867273507117945
51,0.2919761661548164
52,0.2894568840019927
53,0.2872153107840389
54,0.2856430853270483
55,0.2848601769971689
56,0.2834101168836898
57,0.2839456616564488
58,0.2898342891692265
59,0.2853402395330628
60,0.286113742050075
61,0.2879275208812619
62,0.2898694485587048
63,0.291831289462652
64,0.2837561397025673
65,0.285386399746428
66,0.2871225367630286
67,0.2831290049041457
68,0.286474088190696
69,0.2921976180116611
70,0.2810111605244078
71,0.2903385318953462
72,0.2850076465468834
73,0.2827579896221397
74,0.2849852277817982
75,0.2824698083036656
76,0.2808267603032332
77,0.2880946211618228
78,0.2855424021645849
79,0.2839486708065554
80,0.2830303060297027
81,0.2898493989753848
82,0.2862779202849548
83,0.2858680797793475
84,0.2839569366042792
85,0.2873257471120981
86,0.2816588343003602
87,0.2857248295239485
88,0.2928282218010339
89,0.2844058346147489
90,0.2898672735200694
91,0.2851023382900653
92,0.2941245110551519
93,0.2908596127568838
94,0.2864842074082007
95,0.2823706756389646
96,0.2846209876108915
97,0.2853606444427086
98,0.2876452937320204
99,0.2815040660085611
100,0.2801872450302515
101,0.2859773232000248
102,0.2849653027044556
103,0.2849763701289895
104,0.2898672988313006
105,0.2797462403942764
106,0.280148538726419
107,0.2821234159084982
108,0.2802378081199909
109,0.2883316166129893
110,0.2795172626471931
111,0.2895083285906372
112,0.2814225436411518
113,0.293072687449544
114,0.2807961781796962
115,0.282564955791272
116,0.2879406751485814
117,0.2844380233818759
118,0.2785358826904043
119,0.2858711522648188
120,0.2846194437039236
121,0.2903574540005601
122,0.2776713228934604
123,0.2825137467291882
124,0.278590905945038
125,0.2780966692015815
126,0.2853106518009142
127,0.2864301795593946
128,0.2792087219639624
129,0.2852258887795686
130,0.2818926962164111
131,0.2892004137879763
132,0.2789726548609243
133,0.2802460659426459
134,0.2851055282369945
135,0.2843904274288691
136,0.2848257476099504
137,0.2785578048273233
138,0.2793594657487828
139,0.2802133494785328
140,0.2836359276370196
141,0.2858608820225856
142,0.2821091832312206
143,0.277395574949511
144,0.2816129273678937
145,0.2778172148470739
146,0.275916435552272
148,0.2806630694241775
149,0.2819743568900639
150,0.2819403436313553
151,0.2835944185372943
152,0.2765935871054357
153,0.2760723804096741
154,0.2778563920074513
155,0.2749867930836184
156,0.2790724283814302
157,0.2792980111676601
158,0.2775595847286772
159,0.2760796049358066
160,0.2803513832650839
161,0.2832439431020369
162,0.2788486151926594
163,0.2788748652332596
164,0.2740061062377607
165,0.2751712861555302
166,0.2818842586652413
167,0.284260606635901
168,0.2819913377878558
169,0.2741020219483256
170,0.2842652236775591
171,0.276818661642769
172,0.2800078721857529
173,0.2728487672875907
174,0.2756547058694877
175,0.2814850011577641
176,0.2748280082664836
177,0.2757261105159108
178,0.2746915063208272
179,0.2792889002921719
180,0.2807916644861529
181,0.2789241903621229
182,0.2730972602008446
183,0.2853117009945867
184,0.2751049150830708
185,0.2704727259689106
186,0.282115945171966
187,0.2772736585008304
188,0.2801832858474023
189,0.2686319976213185
190,0.2788104581493577
191,0.2818888328534576
192,0.2803271567457956
193,0.2863018502129744
194,0.2827686129864926
195,0.2769118855240914
196,0.2805545366113077
197,0.2829262425977629
198,0.2786283332965292
199,0.2753860375496965
