step,update_actor_step
1,0.09706569303719632
2,0.09102922425097781
3,0.0901781245898581
4,0.09142100796546977
5,0.09057133288463533
6,0.0902634429563762
7,0.09082026360282969
8,0.08980938869723239
9,0.09165285902604058
10,0.09018249908393822
11,0.09075549811730223
12,0.08896071945432782
13,0.09178732490124675
14,0.09143538164971322
15,0.08947657279775507
16,0.09224827153852747
17,0.0907153594528546
18,0.09118135995471123
19,0.0918587929963944
20,0.09183122667882877
21,0.09036753247619361
22,0.0899042610077018
23,0.09098683958635939
24,0.09082995384644046
25,0.09091251372996748
26,0.09031071927395193
27,0.09151891108184029
28,0.09144716499139778
29,0.09088139802782533
30,0.09117904734971563
31,0.0890450140775897
32,0.08978999023882613
33,0.08948046144351754
34,0.09069344148391506
35,0.09004305493232242
36,0.08770201415249941
37,0.09055850902772099
38,0.09175381991384027
39,0.09141918390056265
40,0.09104703007565405
41,0.09223057137477955
42,0.09199391899701546
43,0.09025442902019218
44,0.09101617416331784
45,0.0918320835203536
46,0.09045190926792009
47,0.08939155915546529
48,0.09052959818000368
49,0.08809607978301173
50,0.09047365120045904
51,0.08892306086708653
52,0.09097260992225509
53,0.09150720826909138
54,0.09056154759099781
55,0.08882594385745822
56,0.0886785390950057
57,0.0912202804495106
58,0.09070130145326796
59,0.09110785908422232
60,0.09138216311952443
61,0.09066687726638638
62,0.09273307490794058
63,0.09144622082145254
64,0.08945186226008617
65,0.08934502713213212
66,0.0906000910639215
67,0.088844786542623
68,0.0915470495862456
69,0.09061835406923134
70,0.09251822074807303
71,0.08975387207555115
72,0.09100363709982777
73,0.09225305568170632
74,0.08988442172995957
75,0.0908395622375026
76,0.09058568130570463
77,0.09035284576397129
78,0.09139648707877362
79,0.08841766702456727
80,0.0904155261124061
81,0.08948050742684026
82,0.08989209051142477
83,0.09176316199219832
84,0.09229636330775248
85,0.08918377537008565
86,0.0888251553444935
87,0.09162854023716518
88,0.0901525056518143
89,0.09085270446162909
90,0.09169245140925296
91,0.08916377686554762
92,0.09118754974567271
93,0.09060846604854172
94,0.09166063627151712
95,0.09086705873839936
96,0.09023086717732033
97,0.09027854932271283
98,0.09233603524483057
99,0.08974518947854469
100,0.08941214453189171
101,0.09145983071556885
102,0.0878167767997273
103,0.08909410812593835
104,0.09228070538568994
105,0.09035583357843208
106,0.091190668935628
107,0.08931818435632304
108,0.09157385741599196
109,0.0916121026795928
110,0.0890596296127537
111,0.09343642685438422
112,0.09045619673733961
113,0.09112846877107272
114,0.08821687651523698
115,0.09132944079624161
116,0.09112399263239919
117,0.09170193806730863
118,0.08772277063109821
119,0.09125269550113194
120,0.08940594218263259
121,0.09082590377667424
122,0.09070132118623096
123,0.0901775167902425
124,0.0906962203569696
125,0.09071600723354646
126,0.09210566606786875
127,0.09226770372544456
128,0.09089201837714357
129,0.0908691578800595
130,0.09046988810916022
131,0.090944250117882
132,0.09059205721257976
133,0.09272430689973446
134,0.09117451037920592
135,0.09116998730605727
136,0.0916231832162146
137,0.09108475002658593
138,0.08835049937742016
139,0.08943089561890101
140,0.09219505358451856
141,0.08950986716232824
142,0.0938508309395497
143,0.08983846758236241
144,0.08970281353631275
145,0.0902064247231531
146,0.09000775500837581
148,0.09077385238855845
149,0.09147826332075776
150,0.08925838683163924
151,0.08970377539959316
152,0.09086234725309905
153,0.09005012517397151
154,0.0921713297025211
155,0.08965059892014454
156,0.08799905008356651
157,0.08909619068027022
158,0.08909804597585017
159,0.09138306649597473
160,0.08957859148796483
161,0.09058493952323728
162,0.0891744468080467
163,0.09022681975282924
164,0.09037163918820985
165,0.08999967050383549
166,0.08978099962143982
167,0.09088629403058106
168,0.090346841252216
169,0.08997362282818207
170,0.08895371152711831
171,0.08916746809761764
172,0.0901867948395549
173,0.09283426037135313
174,0.09067524974926842
175,0.09075646810131248
176,0.09002331940056285
177,0.09041070268606827
178,0.09186351669480139
179,0.0902077233211301
180,0.08940464259933638
181,0.09278972675643098
182,0.09137276017066481
183,0.08974293483890297
184,0.09096220318637845
185,0.09093491271737614
186,0.0892832123889206
187,0.09072475936485826
188,0.09130326065361384
189,0.09107913137993646
190,0.09013443164891649
191,0.09220527253734455
192,0.09258912750073804
193,0.09026937784733925
194,0.09113332831552233
195,0.08980125245307144
196,0.09290869043144533
197,0.09244799386918426
198,0.09170894972917533
199,0.08968101290885688
