step,gen_step
1,0.2600891586219334
2,0.2489944678982411
3,0.2460039988723664
4,0.2498624281517727
5,0.2455954349421315
6,0.2414752228866135
7,0.2439871378026178
8,0.2419497805970929
9,0.252007176856871
10,0.2386636939192479
11,0.2484022853423652
12,0.2357719705892713
13,0.2461609564324879
14,0.2464620203476995
15,0.2445448485111117
16,0.2443324447473058
17,0.2446373869939718
18,0.2488840193133896
19,0.2431016108881506
20,0.248514256732351
21,0.2483497322941198
22,0.2539137172184781
23,0.2470934451065618
24,0.2390524693842944
25,0.2445454161165365
26,0.2498692580720076
27,0.2445577935309871
28,0.2497957930755643
29,0.2492565481288125
30,0.2362123724118758
31,0.2524392443893858
32,0.2450170960599597
33,0.2416457116305551
34,0.2456215915284607
35,0.2483782954367178
36,0.2439744353855799
37,0.2481298845015985
38,0.2401906307793308
39,0.2395782242533556
40,0.2442282714325683
41,0.2464185387215442
42,0.2432052866751948
43,0.2402142767346289
44,0.2442228838728291
45,0.2451149968791755
46,0.2457484794498801
47,0.2405967093390798
48,0.2461351545546397
49,0.2389176834781279
50,0.2407778449969388
51,0.2464166721755542
52,0.2417518644739623
53,0.2408636084294683
54,0.2390037470182092
55,0.2413876741127867
56,0.2383944718355717
57,0.241137927828557
58,0.2469575873054378
59,0.2380610517404058
60,0.2355597115947691
61,0.2387782500885411
62,0.2402668222068482
63,0.237333558573646
64,0.2338396477334101
65,0.2440123905514864
66,0.229743092261773
67,0.2372113775136
68,0.2388628993608476
69,0.2400235825853811
70,0.2389442343927055
71,0.2442123248090599
72,0.234580961962453
73,0.2421516672222614
74,0.2324888963704185
75,0.2398184342676537
76,0.2369399784077747
77,0.2346237708534221
78,0.23510875029287
79,0.2312667402294522
80,0.2308155819018478
81,0.2413355478022537
82,0.2364763248482339
83,0.2323681775311358
84,0.2352265029829061
85,0.2302882173705652
86,0.2244882204985353
87,0.2355074524072998
88,0.2325855068073183
89,0.2293279956094993
90,0.2285120295118389
91,0.2376662257700621
92,0.231777724338027
93,0.2298008989836093
94,0.2292305559292751
95,0.2307823567454486
96,0.2276417666264609
97,0.2310549141011385
98,0.2314206869523728
99,0.2304167197414707
100,0.2239897401401883
101,0.2394857427536041
102,0.2256601247125496
103,0.2333002502311484
104,0.2269647114219616
105,0.2273374735512695
106,0.2247713325267037
107,0.2247368033085413
108,0.2232050860824328
109,0.2278016157442429
110,0.2267561958599936
111,0.2285280515061696
112,0.2267508242416304
113,0.2283016433711426
114,0.2271029217328063
115,0.2270952491820092
116,0.2247533640952485
117,0.2246818850846277
118,0.2203011501476195
119,0.219505786220581
120,0.22564932789618
121,0.2292569450431293
122,0.2244058144009035
123,0.221118555698997
124,0.2241860866767235
125,0.2220607516280687
126,0.2221236287924574
127,0.2250003748193844
128,0.2239767752795966
129,0.2246390070599087
130,0.2264785772269581
131,0.2320228860134789
132,0.2289185305644977
133,0.2301785970650661
134,0.2255025857226199
135,0.232444035908591
136,0.2267035187514151
137,0.2289589459118571
138,0.237232744086218
139,0.2323534606536548
140,0.2320924493436622
141,0.236341629113261
142,0.2321738986707484
143,0.2311488194502106
144,0.2325190907887479
145,0.2259592537812378
146,0.227571296874632
147,0.2284578299951099
148,0.2299174562784208
149,0.2244103987357006
150,0.2341689200844142
151,0.2363043320806874
152,0.2329376854621395
153,0.2326614635239079
154,0.2340594904222481
155,0.2324419651692069
156,0.2351105251130341
157,0.2380376944175511
158,0.2381445340382966
159,0.2389888755560142
160,0.2371767066224269
161,0.238071788788828
162,0.2442317392351576
163,0.2385030835283558
164,0.2400594102178965
165,0.2403333449240288
166,0.2507068418606348
167,0.251066274184759
168,0.2536088365831631
169,0.2689791710957661
170,0.2681331916115531
171,0.2815791836790589
172,0.2949984708713523
173,0.310309856194283
174,0.286990728204172
175,0.2759735304852551
176,0.2810583548563884
177,0.314030147902426
178,0.3107907637901717
179,0.343039299041712
