step,global-rag__qwen2.5-7b__2025-09-30-timing_per_token_ms/adv_step
1,0.07142134394085783
2,0.07060127760709048
3,0.07094937043422729
4,0.07059349796271672
5,0.07061735499848001
6,0.07017157155133681
7,0.07171292638774568
8,0.07051972494898996
9,0.07057540724012015
10,0.06769564639238938
11,0.07218548449374693
12,0.07027228263324618
13,0.07088763837095159
14,0.07048799406946613
15,0.07120819624736882
16,0.06790824319944012
17,0.06894690455692794
18,0.07175624358532112
19,0.06874351347712784
20,0.06991997186798872
21,0.07095276226977164
22,0.06911315790173299
23,0.0698824675865636
24,0.06925536686491449
25,0.06839224834625413
26,0.06864875868640387
27,0.0688209297291072
28,0.06876011790010361
29,0.06904039707315753
30,0.06769639755452513
31,0.0681146228658265
32,0.0672925245771035
33,0.06893725113724662
34,0.0672272479906048
35,0.06813412045580998
36,0.06824012275360646
37,0.06859156872564949
38,0.06856637869396007
39,0.06914616385215337
40,0.06731664865752085
41,0.06891311522181175
42,0.0683315267824893
43,0.06850940073357874
44,0.0684535879064659
45,0.07065795014603861
46,0.06885961365894384
47,0.06952018864548073
48,0.06935432919695164
49,0.06865621555754173
50,0.06991034439841277
51,0.06985117803188409
52,0.07029107453020461
53,0.06875570000027577
54,0.06883088380565476
55,0.07048573572711969
56,0.06975702508639409
57,0.06974384259806568
58,0.07128513032770582
59,0.07083866057770337
60,0.06965535608038466
61,0.06936166782100218
62,0.07054831242495142
63,0.06836811956544205
64,0.06954206628975328
65,0.07069013392469653
66,0.06955211652678255
67,0.06996782198816014
68,0.07061244130285545
69,0.07140488670594876
70,0.07130879289415071
71,0.06957547814071716
72,0.06984058811050894
73,0.07108743234170405
74,0.07130228055186617
75,0.07169425030933248
76,0.07099551514478926
77,0.0695589467455674
78,0.07018999460679803
79,0.07036459573287103
80,0.07099279131416966
81,0.07063623371055555
82,0.07130792097101234
83,0.07055035988989444
84,0.07045868872406036
85,0.07125605530141188
86,0.07086904605379261
87,0.0722891440184434
88,0.07061755415400373
89,0.07088572840974862
90,0.07065998438561871
91,0.07036094175627584
92,0.06989107048924004
93,0.07020843319506148
94,0.0697685013694119
95,0.06970768705346869
96,0.07013601738011097
97,0.07087487878987396
98,0.07020366880325325
99,0.07090113402291609
100,0.06906862375563697
101,0.07006611593339691
102,0.07084487205522379
103,0.07163915287671056
104,0.06955223820397184
105,0.06946995694584895
106,0.06970257150205261
107,0.06930234009572943
108,0.07089023917928879
109,0.07023886210309392
110,0.06962442939226883
111,0.06772464861042271
112,0.07049304814339481
113,0.07035401704154888
114,0.07143913982079132
115,0.07014409903441639
116,0.07135915597953757
117,0.07026829813225359
118,0.07185038410203803
119,0.06957283552147084
120,0.07054181186798134
121,0.07030701433333474
122,0.07023688875931698
123,0.06993436882306277
124,0.06953163221101218
125,0.07087647346447697
126,0.07064878939213375
127,0.07026507753980192
128,0.06987158705558721
129,0.06899443956922634
130,0.06929980857140729
131,0.07064930394319802
132,0.07043848828587194
133,0.07069341468776721
134,0.06932877421836818
135,0.06954141605688245
136,0.06952706739197667
137,0.06976426702754863
138,0.0719937283962074
139,0.069511948349644
140,0.07063663700811848
141,0.07088641979862105
142,0.0714993152006207
143,0.07146601055036189
144,0.06996340126640786
145,0.07010695455642708
146,0.06922342125133071
148,0.07063200894408828
149,0.06997841475906784
150,0.07058167670310428
151,0.07041689895652722
152,0.07023730351572112
153,0.0707631590265436
154,0.06992059006448684
155,0.06968165908340149
156,0.06929198068410156
157,0.06885757344018185
158,0.06966170729130054
159,0.06970626829348797
160,0.07014734848919321
161,0.06984030410408652
162,0.06993040861339173
163,0.06936730714315516
164,0.07006106365258447
165,0.06977615577958746
166,0.06955622860100985
167,0.0702133817110087
168,0.06949752200580912
169,0.06893461928116362
170,0.0711288642919052
171,0.06918444843739421
172,0.06927325079029367
173,0.07038557930394118
174,0.06980793711533893
175,0.06992343549896168
176,0.06879255239242954
177,0.07124793011669353
178,0.06946185626369472
179,0.07024440906155849
180,0.07085118104259538
181,0.07031778225001727
182,0.0706597569738989
183,0.07155713454735457
184,0.07102130865645584
185,0.06976921016176174
186,0.07090066362465529
187,0.07091070650959437
188,0.06867801521672982
189,0.06952117221041494
190,0.07005175239207635
191,0.06974882681540918
192,0.07158162161087735
193,0.06955895425236111
194,0.06981901511676118
195,0.06935812324102074
196,0.06941465535706355
197,0.06925995537782745
198,0.06976284282844095
199,0.07008307133634033
