step,gen_step
1,310.3663343451917
2,329.4080038815737
3,307.350696220994
4,320.7511266879737
5,308.1361692324281
6,311.2859951145947
7,308.3634616322815
8,312.8590573295951
9,302.730717100203
10,322.793161612004
11,327.8947559595108
12,321.7804669551551
13,309.3132113814354
14,319.6728023178875
15,313.1850659288466
16,328.6025328971446
17,318.3515348955989
18,314.1827643252909
19,324.2156959995627
20,306.8504673466086
21,302.6742612458766
22,303.8238250054419
23,300.8620471656322
24,319.417710583657
25,298.9203910790384
26,305.9262851476669
27,301.8675060942769
28,306.6689523309469
29,321.2555645853281
30,336.8342886306345
31,316.8398087881505
32,298.8420329168439
33,298.2553041949868
34,312.613315936178
35,295.7385984435678
36,293.5100401937962
37,309.6772116459906
38,314.6060069613159
39,326.4729906320572
40,309.095815230161
41,316.9282230623066
42,313.9688217900693
43,296.0680759772658
44,296.1391529105604
45,306.2396926358342
46,290.324504762888
47,296.292767662555
48,301.4963016882539
49,292.6889023818076
50,295.6027091257274
51,295.14761127159
52,291.8842694312334
53,294.4519877545536
54,281.5918094478548
55,300.4799150824547
56,277.3731979839504
57,287.5716477558017
58,293.1120251454413
59,293.2410254254937
60,289.5319429263473
61,299.1751215569675
62,291.6075057722628
63,301.2443077042699
64,272.6618421524763
65,284.515400454402
66,296.2458553686738
67,281.0236576236784
68,278.4785963892937
69,291.119408801198
70,282.7421892732382
71,291.5788581036031
72,293.2101666145027
73,280.1786712408066
74,278.8007633537054
75,279.0694367513061
76,264.9431987404823
77,293.5848403573036
78,289.283007632941
79,278.287870105356
80,271.5163501501083
81,273.9781154356897
82,283.7257526256144
83,286.8137313872576
84,281.4456214569509
85,292.1163292936981
86,284.9283300489187
87,266.0761044472456
88,290.7409422360361
89,277.4256622157991
90,292.7578299716115
91,282.2262259013951
92,291.1520887464285
93,286.6595999486744
94,281.3263457380235
95,278.5468119494617
96,283.0444719605148
97,272.9685730971396
98,290.6848415508866
99,293.0201158449054
100,278.5666420049965
101,282.0294062532485
102,286.4699195027351
103,268.9487291201949
104,299.2024751901627
105,275.2921207547188
106,280.9200678020716
107,289.0108948610723
108,281.1076662763953
109,289.5201195366681
110,272.0130626969039
111,299.4086449034512
112,267.7758016549051
113,292.090893946588
114,270.5903602875769
115,283.7997646480799
116,289.5741625986993
117,287.6419332772493
118,278.0414814986289
119,288.1787042059004
120,278.4987025670707
121,293.3629440069199
122,273.3452036827803
123,282.0032443888485
124,289.5671090483665
125,274.1012543551624
126,287.7434957288206
127,282.1652341857553
128,275.5887808836997
129,288.2201901599765
130,284.6324113309383
131,291.1256209425628
132,280.5563826225698
133,279.2329764142632
134,286.7942082807422
135,294.150138117373
136,302.5467511489987
137,278.9892908670008
138,271.4804113768041
139,274.0130686946213
140,282.2710715532303
141,287.7427042089403
142,280.6032844111323
143,272.6132752373815
144,268.4934259206057
145,285.6316574662924
146,274.4946381598711
148,267.5140046216547
149,278.7043002732098
150,285.1350096650422
151,276.1994104795158
152,284.0538693368435
153,278.7444849796593
154,288.6399985812604
155,283.9329384230077
156,279.0280558653176
157,274.8515868298709
158,279.3717712573707
159,278.4732151106
160,286.4299619570374
161,288.843109369278
162,283.7145235277712
163,280.1470923684537
164,269.2910091616213
165,271.322740547359
166,279.8343963362277
167,292.487108591944
168,292.758049055934
169,287.7344860099256
170,281.5433841608465
171,277.9458672329783
172,289.6460231542587
173,287.6093399003148
174,282.4498700238764
175,285.1350171677768
176,272.3289971873164
177,278.8032139092684
178,276.9420538321137
179,268.1273986808956
180,293.8757136762142
181,273.0227123424411
182,266.7095152847469
183,283.8440576046705
184,282.8438914492726
185,275.5062233991921
186,276.8747951425612
187,279.4366703107953
188,293.4443607665598
189,282.6822569929063
190,282.9220759756863
191,284.8943315893412
192,281.7655153870583
193,282.9635706394911
194,290.5594538114965
195,298.5018745027483
196,280.4672841504216
197,287.9498809613287
198,275.6957700885832
199,265.3936551772058
