step,step_step
1,643.9722943715751
2,671.3792341388762
3,632.3429438322783
4,656.1462526805699
5,633.0617252402008
6,645.2437905110419
7,638.1393427923322
8,640.4418455138803
9,628.2603697963059
10,1334.540229618549
11,666.3115684427321
12,655.2343311719596
13,641.2838508039713
14,656.0422005094588
15,643.3000704683363
16,668.429887868464
17,651.0317028053105
18,648.4813739210367
19,664.0049917772412
20,1331.488426271826
21,627.6091562099755
22,630.8010253049433
23,630.1146777421236
24,654.6507541723549
25,625.8052621819079
26,638.0718298703432
27,632.4191710986197
28,639.8065701797605
29,667.1874032281339
30,1379.692373238504
31,648.5006715022027
32,630.7016970440745
33,628.1886151842773
34,647.3096997477114
35,624.5635154917836
36,617.3384402543306
37,646.4021431356668
38,655.5945176631212
39,676.0206370875239
40,1328.46143835783
41,659.053382422775
42,655.915781378746
43,625.8077283129096
44,627.476496592164
45,648.2334251999855
46,617.6619645804167
47,626.1306120529771
48,632.083434060216
49,615.176172170788
50,1291.338014990091
51,621.2665924578905
52,620.7142181321979
53,626.3919323086739
54,602.2548028454185
55,635.1346745043993
56,595.527760643512
57,617.7600791417062
58,623.786919079721
59,627.3037510737777
60,1334.840757451952
61,632.8077951818705
62,624.037077061832
63,633.611775174737
64,587.6983894445002
65,609.2080102786422
66,628.5850315988064
67,602.5133505351841
68,601.3788839615881
69,619.5265699587762
70,1333.727369859815
71,616.0950606502593
72,627.7461192496121
73,609.2063079103827
74,601.8342924006283
75,605.5325532183051
76,581.2961399294436
77,623.35086703673
78,621.0439442507923
79,597.4074907153845
80,1290.198670063168
81,587.3540126495063
82,609.9418242312968
83,616.8709532245994
84,609.719544313848
85,621.8199552893639
86,612.7424957975745
87,583.9592135362327
88,616.4023157842457
89,601.2883007265627
90,1316.223077472299
91,604.7471959032118
92,617.7909204959869
93,610.2064507342875
94,605.7523356042802
95,602.8473102599382
96,608.4319085031748
97,591.865668322891
98,622.4519979432225
99,628.4099382385612
100,1297.37925196439
101,607.0217221006751
102,610.3344859667122
103,584.6257348805666
104,635.494280513376
105,596.7441047988832
106,608.2520591542125
107,618.3944570459425
108,610.776800531894
109,619.2439113967121
110,1284.400931641459
111,633.8887934908271
112,585.4910586215556
113,619.8184660486877
114,588.1718550659716
115,612.182750787586
116,620.299536075443
117,618.548000190407
118,602.7265122681856
119,617.5342172905803
120,1297.23563471809
121,622.9476638697088
122,596.6601172536612
123,606.7085237577558
124,624.0088195577264
125,599.6542619504035
126,620.0669336952269
127,608.9491978138685
128,599.1119449585676
129,616.8817936331034
130,1305.373141881078
131,620.6914340294898
132,608.8264460898936
133,609.7433715723455
134,614.7047426216304
135,627.7463442794979
136,643.3829397112131
137,606.7188572473824
138,591.2030581720173
139,593.2734553925693
140,1310.38333125785
141,615.7451672852039
142,613.8335671201348
143,597.0300823710859
144,583.6909438408911
145,616.2685145772994
146,597.679817777127
148,586.319573096931
149,604.1443370915949
150,1317.157740112394
151,597.1158497929573
152,616.603235527873
153,607.1717795096338
154,626.2572369910777
155,615.1197144277394
156,600.1237698979676
157,594.2499902285635
158,604.1233187168837
159,607.614108428359
160,1316.244813613594
161,619.1153408028185
162,611.5467525348067
163,605.9143969751894
164,591.9436550885439
165,593.6465607210994
166,601.9529220759869
167,625.758916195482
168,626.120481967926
169,621.3841758556664
170,1313.399618137628
171,601.0887372344732
172,620.8395651131868
173,629.6930551677942
174,613.7149863541126
175,615.0244326777756
176,593.830245487392
177,609.9330285936594
178,606.0854500792921
179,585.3795931003988
180,1305.745398558676
181,598.8738378435373
182,590.6447936184704
183,610.601927023381
184,618.0005069673061
185,605.9562051258981
186,599.0238336287439
187,609.894607514143
188,630.3492717333138
189,620.2972680553794
190,1306.645512510091
191,616.8405722603202
192,616.3439145386219
193,605.7662076987326
194,623.5856525450945
195,638.4018707349896
196,610.6229799166322
197,621.0385116413236
198,601.8003930971026
199,582.5166289433837
