step,gen_step
1,166.5923078805208
2,175.7654438838363
3,172.5051381252706
4,169.7567835487425
5,166.1045428961515
6,169.6841561719775
7,164.4261039979756
8,162.9217237606645
9,164.1892279088497
10,171.0006273835897
11,173.1997354663908
12,171.4279136396945
13,170.5075712092221
14,167.8618315905333
15,161.0794908106327
16,172.5478168129921
17,174.9321224056184
18,167.8648045063019
19,165.5456332713366
20,164.2639474719763
21,167.8998167142272
22,164.7148440144956
23,168.2538337633014
24,167.7074989490211
25,161.2229237556458
26,168.6907340325415
27,161.2144539579749
28,172.1305340714753
29,167.1008420959115
30,180.4636541865766
31,172.5523211099207
32,170.6744988076389
33,167.0153667591512
34,169.4452479965985
35,161.8703705407679
36,163.2337797135115
37,169.902223944664
38,167.3002202473581
39,173.5442366153002
40,173.1065565086901
41,174.8627841919661
42,178.8845413029194
43,167.6923855170608
44,176.2507708333433
45,168.4057683758438
46,169.0656154192984
47,173.1427753120661
48,175.955376341939
49,170.3449634723365
50,175.2097038030624
51,170.6418205648661
52,163.0200512669981
53,168.5416604988277
54,173.163950804621
55,181.4844261296093
56,172.3475218079984
57,171.6050829254091
58,178.6439325474203
59,174.0207243338227
60,178.1806636862457
61,183.107817415148
62,180.3084769919515
63,185.8252936899662
64,176.913490049541
65,182.7284346520901
66,178.4499602541327
67,177.7273036427796
68,180.0235624983907
69,180.9072143360972
70,186.5528436712921
71,184.6306228637695
72,192.3202633410692
73,185.822346393019
74,192.5819448195398
75,191.1746223345399
76,181.8163663111627
77,189.3944080509245
78,192.1395697630942
79,189.363750834018
80,187.2516797892749
81,200.4798529148102
82,192.5028428137302
83,187.7223501093686
84,187.5117477588356
85,192.3010244742036
86,192.7166271395981
87,187.7950555942953
88,193.5364934839308
89,182.8766927868128
90,197.8731365948915
91,199.1497995555401
92,185.278477281332
93,193.5672720372677
94,190.4303043410182
95,189.0107501745224
96,192.2869514934719
97,186.5877027176321
98,204.2893884554505
99,197.7560713849962
100,195.3999136984348
101,215.7426472455263
102,193.0975943766534
103,188.5499960333109
104,198.7616224512458
105,195.9330749548972
106,193.3763966560364
107,199.1900719292462
108,192.1302507929504
109,207.2930918820202
110,189.5269101113081
111,207.7694774195552
112,193.9510907642543
113,200.1853827834129
114,195.8192671611905
115,197.4461476393044
116,194.8827429935336
117,198.0018099583685
118,189.5700209066272
119,193.626493036747
120,191.0374287888408
121,207.3092606663704
122,197.0027227811515
123,202.0773735120893
124,192.9840913191438
125,190.4166503995657
126,199.1438287757337
127,186.9134363718331
128,195.5897348038852
129,187.7103760503232
130,189.1021381914616
131,195.6945987045765
132,203.7400103062391
133,207.66045509278769
134,209.7514556124806
135,207.4200407788157
136,213.4227732159197
137,209.1313301548362
138,211.7401878722012
139,211.7820470146835
140,226.2000862397254
141,223.5768177248538
142,210.8113460801542
143,212.8016130551696
144,197.2124619670212
145,207.4208787232637
146,200.9213325828314
147,199.350017875433
148,196.8093425743282
149,196.2372440472245
150,218.8273432850838
151,215.7607423625886
152,208.5421216636896
153,218.9251307174563
154,212.1393510252237
155,216.0522497631609
156,211.7828588113189
157,199.3341935314238
158,203.4564012102783
159,204.1873154975474
160,206.595853600651
161,198.448786765337
162,195.4440070055425
163,185.1401651166379
164,186.8036704175174
165,185.3582939393818
166,192.3302551470697
167,193.0059429481626
168,197.0330164916813
169,208.5145362876356
170,196.4676246903837
171,204.5531979836524
172,196.0314988680184
173,187.6338195055723
174,178.7246239520609
175,186.3461589366198
176,185.4375245422125
177,204.6707190461457
178,179.5804975517094
179,188.526851888746
