step,adv_step
1,111.8143992200494
2,117.0026258900762
3,112.4680906198919
4,114.4499203525484
5,111.8055628575385
6,114.3009291253984
7,114.156221870333
8,112.8815584033728
9,111.2084922045469
10,111.271604757756
11,117.6205443292856
12,114.9378373809159
13,113.1396481208503
14,114.7792661190033
15,114.2935698851943
16,112.7854057177901
17,112.3611156307161
18,115.4235056191683
19,113.9977121166885
20,112.0250797271729
21,111.968283649534
22,110.9855028428137
23,112.0452158153057
24,113.8810320794582
25,109.7435011491179
26,112.1971971392632
27,111.3475156575441
28,111.9654692225158
29,116.8374782092869
30,116.3261047378182
31,112.3677397370338
32,110.7389336824417
33,112.1986852139235
34,111.0752120837569
35,110.9185325913131
36,110.4497777223587
37,113.2806905396283
38,113.8029784709215
39,117.9639778472483
40,112.2373175732791
41,114.5345622822642
42,114.1252660863101
43,111.3329143971205
44,111.0135793834925
45,116.1717034690082
46,110.6180803105235
47,112.1699901372194
48,112.4581141471863
49,110.381824593991
50,113.4644190482795
51,111.918491192162
52,112.4429449401796
53,111.0962163731456
54,108.5220064595342
55,116.0676627643406
56,109.513925421983
57,111.8799338229001
58,114.2639333941042
59,114.7164102941751
60,111.669168241322
61,113.0740151368082
62,112.6629035584629
63,110.9806011281908
64,107.8800510987639
65,112.2960846684873
66,112.8886492922902
67,110.8240623138845
68,110.4046703502536
69,113.3741799406707
70,113.8908385708928
71,111.0286871679127
72,113.178069844842
73,112.4655073471367
74,111.9170577861369
75,113.2333253845572
76,108.9458127878606
77,112.0276052094996
78,112.6394995450974
79,110.5613561496139
80,110.0795763991773
81,108.4985264316201
82,112.8383672237396
83,112.5111035890877
84,111.4847398661077
85,114.6244857273996
86,113.5919543839991
87,110.0455470718443
88,111.8399864509702
89,111.0327113233507
90,113.1649327129126
91,111.2443076856434
92,110.4893256239593
93,110.67868034169081
94,109.7120846994221
95,109.9623427577317
96,111.208791334182
97,109.6954596489668
98,112.481511618942
99,115.7892800830305
100,109.4638227708638
101,110.4820032566786
102,113.133593082428
103,109.9681055620313
104,112.948313947767
105,109.4181693978608
106,111.0877066031098
107,111.9716522879899
108,113.0127939581871
109,112.0729176551104
110,108.9279767796397
111,110.0567529201508
112,108.7209347002208
113,111.7204202115536
114,111.1002928316593
115,111.9198200963438
116,113.9750580079854
117,112.6052288301289
118,114.2737248912454
119,111.2283184789121
120,110.7407687790692
121,112.5995660424232
122,110.6813964135945
123,111.1175297386944
124,113.4028936810791
125,111.7791445478797
126,113.0498613752425
127,110.7869477570057
128,110.2695919014513
129,110.4992865920067
130,110.9354107603431
131,112.8765342086554
132,112.4844193980098
133,112.2367532961071
134,110.7179137691855
135,113.0338694043458
136,115.0205048173666
137,111.1037113331258
138,112.5615464039147
139,109.060979899019
140,112.0744192861021
141,113.2767114974558
142,113.3955544307828
143,112.5289508923888
144,108.0135567523539
145,113.5377221554518
146,109.7545650750399
148,109.0579407699406
149,110.5045242495835
150,113.1022667810321
151,110.1992076896131
152,113.6483118012547
153,113.317575391382
154,113.9841963201761
155,113.1311698332429
156,110.2269804850221
157,108.4379395172
158,111.3155071958899
159,111.5491984933615
160,113.1527237221599
161,112.5356375314295
162,112.5078875496984
163,110.6878165602684
164,110.2590893507004
165,110.0432077422738
166,110.1449311263859
167,113.7597210481763
168,113.2608760856092
169,113.1196422018111
170,112.5386665053666
171,110.3718185722828
172,112.5940401777625
173,115.8242569640279
174,112.8302895277739
175,112.19019440189
176,108.8179167732596
177,114.1673269793391
178,111.1079205721617
179,108.9407193697989
180,116.0348921753466
181,110.3909722231328
182,110.7542228735983
183,113.4961270913482
184,115.0165946446359
185,112.3549406602979
186,111.5070334970951
187,113.397990886122
188,112.5347655639052
189,114.2784162312746
190,112.5207673832774
191,111.7353188470006
192,114.2958784401417
193,109.887844748795
194,113.0276995450258
195,115.7956062108278
196,110.4521831162274
197,111.4313725680113
198,110.2936592549086
199,108.959552668035
