step,update_actor_step
1,90.80210826173425
2,90.03281492739916
3,91.49245174601674
4,86.42013133689761
5,87.64084239676595
6,85.34142153337598
7,85.34265537932515
8,83.76894702017307
9,83.25241285189986
10,88.50310899317265
11,86.28250062093139
12,89.31770004704595
13,86.48200795054436
14,86.33175525441766
15,84.78767046704888
16,89.61320216953754
17,89.95171887800097
18,86.18125909566879
19,88.11078764125705
20,85.39967218786478
21,84.01318633928895
22,85.85990955680609
23,85.84130247309804
24,89.14203427731991
25,85.53759640827775
26,86.61204567924142
27,83.37366821989417
28,88.30500075593591
29,86.4160784818232
30,93.69076611101627
31,88.27965149655938
32,89.65332959964871
33,87.46205965057015
34,87.30830316990614
35,83.91943657770753
36,86.031350068748
37,88.58615966513753
38,88.58301592245698
39,90.27764956653118
40,87.89702978730202
41,89.2025598846376
42,93.4839873239398
43,87.37824143096805
44,92.60739792138338
45,85.64628167450428
46,86.3983120135963
47,88.61973743885756
48,90.10092282295227
49,86.97352920100093
50,92.62381168454885
51,86.53996118158102
52,85.43530139699578
53,87.32113107293844
54,93.05391909182072
55,92.11057730391622
56,89.79140304401517
57,88.44309923425317
58,89.53543539345264
59,92.62771891057491
60,95.18145883083344
61,92.12104836851358
62,92.65614334121346
63,93.02754143625498
64,89.53209173306823
65,90.6578932069242
66,93.85642391070724
67,90.16918534040451
68,92.58249043673277
69,91.9897259362042
70,93.43386967107654
71,91.6923047862947
72,97.04150547459722
73,94.92601331323385
74,98.67423359677196
75,96.89748680591583
76,90.09474144130945
77,96.36302262172103
78,98.20716851949692
79,95.9715834967792
80,100.0061154961586
81,97.2013500444591
82,98.54802076891065
83,95.05719747766852
84,95.48668667301536
85,98.63443100824952
86,98.48505063727498
87,94.19263200089335
88,98.06282239407301
89,92.01916329562664
90,102.175656221807
91,98.30406916514039
92,96.0746931694448
93,98.5976617000997
94,97.43709807470441
95,94.62140281498432
96,95.34853952005506
97,91.97435341775417
98,101.6527877859771
99,97.22817851603031
100,101.4284719415009
101,99.51552913337946
102,99.49650721251965
103,95.91547368094325
104,102.00462923944
105,96.90026458725333
106,98.80608410388231
107,100.1899879164994
108,99.25174272805452
109,102.6178202480078
110,95.63375346362591
111,102.2478438019753
112,95.2901519164443
113,99.95238234475255
114,98.4297286644578
115,99.43098253384233
116,98.29987623915076
117,100.1014068052173
118,96.74076010659337
119,102.0509797073901
120,93.5377883836627
121,98.71670865267515
122,96.67897778004408
123,101.4564411081374
124,96.28700182959437
125,96.36583549156785
126,98.79397436231375
127,96.2692585811019
128,98.91087061911821
129,92.85864273458719
130,94.00497146695852
131,95.99628595262766
132,98.44696136564016
133,100.8997304812074
134,104.1497356817126
135,100.8027247786522
136,103.3483015224338
137,102.3161377348006
138,102.7007061876357
139,100.8923233598471
140,107.6913316398859
141,106.6696145273745
142,101.279617998749
143,102.1722676344216
144,97.71839380264282
145,103.2224915809929
146,98.48351069912314
147,97.61271446570754
148,95.14539900049567
149,100.2873451597989
150,106.6685746759176
151,104.3797059208155
152,102.6604584380984
153,104.5855325348675
154,101.5905532240868
155,103.4976999536157
156,100.4810403138399
157,96.03242187947035
158,97.86461511999369
159,97.27355709671974
160,95.09336695075035
161,91.29049402102828
162,90.09627877548337
163,86.73865446075797
164,88.46382981538773
165,87.16416716575623
166,84.46002797037363
167,87.52617087960243
168,88.21078907698393
169,87.65300691872835
170,84.28036580979824
171,84.25225815922022
172,81.48264056444168
173,79.27299261465669
174,79.4491014406085
175,83.19664287939668
176,80.0267845839262
177,79.38821677863598
178,73.78030548244715
179,72.26162300631404
