step,adv
1,0.9211410544812679
2,0.9215605892241001
3,0.9036038033664227
4,0.9017287716269493
5,1.045413568615913
6,0.9720858372747898
7,0.9392648749053478
8,1.003140896558762
9,0.9282439537346363
10,0.9524227902293205
11,0.9629268832504749
12,0.9441010877490044
13,0.9195615872740746
14,1.009131077677011
15,0.9232135638594627
16,1.010558523237705
17,1.099680945277214
18,1.116870202124119
19,1.028319764882326
20,0.9413529187440872
21,1.117185521870852
22,0.8895285986363888
23,0.9261509403586388
24,0.9188119918107986
25,1.151530463248491
26,0.9344927482306957
27,0.9250348694622517
28,0.9199674390256405
29,0.9108883775770664
30,1.212235797196627
31,0.9164983332157135
32,1.424387086182833
33,1.08212910220027
34,1.069461222738028
35,0.9125627838075161
36,0.9228263273835182
37,1.250257182866335
38,0.9182571284472942
39,1.005332689732313
40,0.9027995802462101
41,1.284229520708323
42,1.010259363800287
43,0.9365074224770069
44,0.9579719379544258
45,0.9486003741621971
46,0.9367060661315918
47,0.925910547375679
48,1.083863347768784
49,0.9993906021118164
50,0.9610222242772579
51,0.9321649745106697
52,0.894249252974987
53,0.9077144041657448
54,0.9223308339715004
55,0.9395219050347805
56,0.9774002209305763
57,0.969400268048048
58,0.9619859494268894
59,0.9525000415742397
60,0.9496155604720116
61,1.562489371746778
62,0.9633112251758575
63,1.012652847915888
64,0.9937537871301174
65,0.9957015514373779
66,1.015598747879267
67,1.0058651082217689
68,1.475832510739565
69,0.9499036520719528
70,1.040192119777203
71,1.225351441651583
72,1.04590256139636
73,1.056718196719885
74,0.997588761150837
75,1.358251538127661
76,1.021367777138948
77,1.049893379211426
78,1.03395938500762
79,1.3020246736705299
80,1.026777930557728
81,1.033550668507814
82,1.05023418366909
83,1.072262145578861
84,1.003586698323488
85,1.033168449997902
86,1.0977797098457809
87,1.184477169066668
88,1.095459084957838
89,1.029494386166334
90,1.094917096197605
91,1.001690741628408
92,1.112262308597565
93,1.075280647724867
94,1.022389270365238
95,1.052909150719643
96,1.054134745150805
97,1.064181372523308
98,1.08612359687686
99,1.019360806792974
100,1.090413633733988
101,1.12218340113759
102,1.092802181839943
103,1.240798436105251
104,1.085407759994268
105,1.080525226891041
106,1.065604608505964
107,1.020850192755461
108,1.062890410423279
109,1.116570636630058
110,1.067069083452225
111,1.055407714098692
112,1.047903433442116
113,1.380276262760162
114,1.065926983952522
115,1.075258310884237
116,1.060634899884462
117,1.360765747725964
118,1.080439932644367
119,1.100320033729076
120,1.048090044409037
121,1.13579148426652
122,1.2383595556020741
123,1.124601885676384
124,1.35066169500351
125,1.103590171784163
126,1.066880341619253
127,1.093638226389885
128,1.244385574012995
129,1.03740119561553
130,1.290306463837624
131,1.043247770518064
132,1.1262924708426
133,1.125837676227093
134,1.400581281632185
135,1.090524066239595
136,1.119608897715807
137,1.14081959426403
138,1.329613715410233
139,1.163174923509359
140,1.192214716225863
141,1.418952573090792
142,1.074817482382059
143,1.204426120966673
144,1.1095493100583549
145,1.400097254663706
146,1.145910784602165
147,1.2748154550790791
148,1.04991727694869
149,1.103056639432907
150,1.140803467482328
151,1.095621045678854
152,1.082190692424774
153,1.093091368675232
154,1.489480901509523
155,1.177634440362453
156,1.092755682766438
157,1.079858083277941
158,1.357696160674095
159,1.149023879319429
160,1.022868264466524
161,1.011604350060225
162,1.020393937826157
163,0.956881407648325
164,1.205630593001842
165,0.9569921977818012
166,0.960757777094841
167,1.116203054785728
168,1.056934401392937
169,1.257011439651251
170,0.941286776214838
171,0.9007635489106178
172,1.171789716929197
173,0.8928950242698193
174,0.9039371982216835
175,1.03612095117569
176,0.8936073817312717
177,0.8692153096199036
178,0.7854305543005466
179,0.7626020833849907
