step,update_actor_step
1,151.9621663913131
2,150.8564523346722
3,142.949280962348
4,148.2165834270418
5,143.3978779315948
6,147.0281364358962
7,144.5722366161644
8,143.7586967721581
9,144.4210760816932
10,148.2333344742656
11,147.8789144977927
12,145.5047754645348
13,146.4964256100357
14,148.8889865800738
15,143.6154468879104
16,153.2105417847633
17,147.8366441316903
18,146.6697765551507
19,152.3298957198858
20,147.1310730725527
21,142.6061112396419
22,144.3729373477399
23,145.8826574087143
24,149.3575062267482
25,145.8799468688667
26,147.6007690168917
27,148.0712833255529
28,148.9078996665776
29,153.799135170877
30,156.6775160133839
31,146.8963130936027
32,147.7615505866706
33,145.6337460614741
34,149.8468782901764
35,146.5850510187447
36,141.9497441984713
37,149.5596416220069
38,152.2883108481765
39,155.961950507015
40,151.8030774332583
41,153.2885008528829
42,153.6454836912453
43,146.6702162399888
44,147.6041152067482
45,150.9849854633212
46,145.3045701533556
47,144.2322079986334
48,146.7938339784741
49,141.6362079828978
50,146.8386454246938
51,142.4762628898025
52,145.5267007499933
53,147.8583537004888
54,142.7835923247039
55,146.2681717090309
56,139.2194535955787
57,146.3314689844847
58,145.3863859176636
59,147.540431432426
60,146.5008683018386
61,147.8059593215585
62,148.0911040380597
63,148.4428213350475
64,138.7659583091736
65,141.9306510612369
66,147.0511958040297
67,140.7238339036703
68,143.1365584395826
69,143.8806509487331
70,147.7654762677848
71,143.2294085659087
72,147.4732139930129
73,145.9510685615242
74,141.0838467292488
75,143.4712778814137
76,139.0078043192625
77,145.5170529223979
78,146.6712545342743
79,138.9274971596897
80,140.195963986218
81,137.4436700567603
82,142.2461429461837
83,146.3404955081642
84,146.0378590673208
85,143.4635182060301
86,142.372778467834
87,139.4858519174159
88,142.7783096060157
89,142.3082238659263
90,146.8493120148778
91,140.9725677408278
92,144.1564824543893
93,142.8379041329026
94,144.137817107141
95,143.3407860845327
96,143.0715066902339
97,139.7271802574396
98,147.9423653818667
99,146.5636766441166
100,141.7053737342358
101,144.2161475680768
102,140.2363672070205
103,136.7619506083429
104,149.8578673005104
105,142.3143231868744
106,145.3341255187988
107,144.3112118281424
108,145.9864940494299
109,146.1759961992502
110,139.3345030061901
111,151.8399866968393
112,139.5099590346217
113,144.7097301967442
114,137.1925927177072
115,145.7225158512592
116,145.5435144044459
117,146.9527225606143
118,139.5178033225238
119,145.8886043839157
120,140.3548123948276
121,145.4614087603986
122,142.9298629648983
123,143.2815234102309
124,147.921363376081
125,143.0680335760117
126,147.3844473548234
127,145.4784884639084
128,143.4435111023486
129,145.5331354476511
130,144.8245587646961
131,145.3018103018403
132,144.6679962277412
133,147.2142094708979
134,145.6055107265711
135,148.189338427037
136,151.5747058205307
137,145.0578384175897
138,138.135210622102
139,140.3128719739616
140,146.2797144539654
141,143.037036255002
142,148.8443207927048
143,141.4578542858362
144,138.4884063005447
145,146.0886733941734
146,142.7083756588399
148,140.1575513035059
149,144.455429609865
150,143.0304060690105
151,140.3822821266949
152,147.020911321044
153,144.2030286490917
154,150.2572408244014
155,145.5516023226082
156,139.9854569099844
157,140.3100175261497
158,142.3736879788339
159,146.238036736846
160,144.4967177286744
161,145.9620494320989
162,143.46875461936
163,143.9728610627353
164,142.2229997739196
165,141.9374903552234
166,142.1716245785356
167,147.2539735883474
168,147.2392410039902
169,147.6440158523619
170,140.7407833039761
171,142.251269377768
172,146.5860990472138
173,152.7650881707668
174,146.5580434687436
175,145.616211887449
176,142.4013172574341
177,144.8736579306424
178,146.9405637197196
179,139.9014441519976
180,146.4203971102834
181,145.6693857684731
182,143.2204054743052
183,142.3404612615705
184,147.3101953454316
185,146.4397647418082
186,140.417672354728
187,145.0839505344629
188,149.6081533581018
189,149.7152386084199
190,144.7786111049354
191,147.7098038308322
192,147.839004252106
193,142.6057577356696
194,147.5327378101647
195,149.9260646104813
196,147.8357507623732
197,148.7382830642164
198,144.9900153428316
199,139.428864389658
