step,global_rag_train-top1-2025-11-21-critic/rewards/mean_step
1,1.008210778236389
2,1.019291639328003
3,1.009483814239502
4,1.064573526382446
5,1.027743101119995
6,0.9513130187988281
7,0.9681374430656433
8,0.9750188589096069
9,0.9862866401672363
10,0.992763876914978
11,1.00549054145813
12,0.9892276525497437
13,1.00041127204895
14,1.016770601272583
15,0.9633884429931641
16,1.001947164535522
17,0.984358012676239
18,1.019146203994751
19,0.9670963287353516
20,0.9576628804206848
21,0.9652140736579895
22,0.9936027526855469
23,0.9590836763381958
24,1.006991267204285
25,0.9136349558830261
26,0.974054217338562
27,1.018340349197388
28,0.9642783403396606
29,0.9494736790657043
30,0.938169002532959
31,0.9515515565872192
32,0.9968687891960144
33,0.9372040033340454
34,0.9782894253730774
35,0.9066804051399231
36,0.934718132019043
37,0.927784264087677
38,0.8897222280502319
39,0.869160532951355
40,0.910792350769043
41,0.8781129717826843
42,0.8462272882461548
43,0.8463097810745239
44,0.7828333973884583
45,0.7542721629142761
46,0.7475086450576782
47,0.6909240484237671
48,0.722248911857605
49,0.6407844424247742
50,0.7180989980697632
51,0.6946324110031128
52,0.6254068613052368
53,0.6363467574119568
54,0.6340607404708862
55,0.5466719269752502
56,0.5940959453582764
57,0.5642378330230713
58,0.551540195941925
59,0.4842207431793213
60,0.5376237630844116
61,0.4888846278190613
62,0.5179779529571533
63,0.4923071265220642
64,0.4794715940952301
65,0.4635376334190369
66,0.4900223612785339
67,0.4535201191902161
68,0.4372686445713043
69,0.3930348753929138
70,0.3929017186164856
71,0.4477838575839996
72,0.398586630821228
73,0.4074442982673645
74,0.3925063610076904
75,0.4352876543998718
76,0.397339403629303
77,0.324663907289505
78,0.3892353475093842
79,0.3931916356086731
80,0.3212252855300903
81,0.3733325898647308
82,0.4108821451663971
83,0.385720431804657
84,0.3694652915000916
85,0.3823860883712769
86,0.3418504297733307
87,0.4042654037475586
88,0.3935381174087524
89,0.3728622198104858
90,0.4133691191673279
91,0.3837968707084656
92,0.3734977245330811
93,0.3866233229637146
94,0.3925298154354095
95,0.3333159387111664
96,0.3575800359249115
97,0.4131955206394196
98,0.3696096241474152
99,0.3590015470981598
100,0.4219666421413422
101,0.3394586145877838
102,0.369442343711853
103,0.3932942748069763
104,0.3476944863796234
105,0.3567376136779785
106,0.4119831621646881
107,0.4180033802986145
108,0.3739666044712067
109,0.3433758318424225
110,0.3509910702705383
111,0.3632553219795227
112,0.3826571702957153
113,0.3841187059879303
114,0.4379359185695648
115,0.3869760036468506
116,0.4353629946708679
117,0.3532348275184631
118,0.3906562328338623
119,0.4085416197776794
120,0.4006517827510834
121,0.4169942736625671
122,0.3974254429340363
123,0.3559401631355286
124,0.4129564762115479
125,0.3871214985847473
126,0.3980222642421722
127,0.4057909846305847
128,0.4237360060214996
129,0.4573070108890533
130,0.4424338936805725
131,0.3822430074214935
132,0.4291105270385742
133,0.3845580220222473
134,0.3954818844795227
135,0.4040554463863373
136,0.4454501271247864
137,0.4173097014427185
138,0.4071431159973145
139,0.3961968421936035
140,0.3891507685184479
141,0.4188329577445984
142,0.4391368925571442
143,0.3906916975975037
144,0.4367806315422058
145,0.3969299793243408
146,0.4281741976737976
147,0.4273890852928162
148,0.4344159960746765
149,0.3851923048496246
150,0.4297214150428772
151,0.4226866364479065
152,0.4148716330528259
153,0.4094001352787018
154,0.4000231623649597
155,0.4133017063140869
156,0.374236673116684
157,0.4156417846679688
158,0.4242342114448547
159,0.4179821908473969
160,0.403918981552124
161,0.4445426464080811
162,0.4507916867733002
163,0.4359467923641205
164,0.4148519933223724
165,0.4695388376712799
166,0.4617255628108978
167,0.4500061869621277
168,0.4148493707180023
169,0.4734426438808441
170,0.4039107263088226
171,0.404691606760025
