step,rewards
1,0.9967485666275024
2,1.020440697669983
3,0.9521156549453735
4,0.9941152334213257
5,0.9852790832519531
6,1.005523800849915
7,1.035205721855164
8,0.9905304908752441
9,1.024230003356934
10,0.9175359606742859
11,0.9574658274650574
12,0.943523108959198
13,0.9374788403511047
14,0.9426987767219543
15,0.9468876719474792
16,0.8895747065544128
17,0.9752933382987976
18,1.00680947303772
19,0.9100745320320129
20,0.987784206867218
21,1.011731386184692
22,0.9199819564819336
23,0.9709383249282837
24,0.8862975239753723
25,0.9810206294059753
26,0.9624425172805786
27,0.9235239028930664
28,0.913817286491394
29,0.8863698244094849
30,0.9162128567695618
31,0.910495400428772
32,0.9412468671798706
33,0.9098192453384399
34,0.9073085784912109
35,0.8662866353988647
36,0.8616798520088196
37,0.8001189231872559
38,0.8642780184745789
39,0.7572597861289978
40,0.8349493741989136
41,0.7195724248886108
42,0.8114434480667114
43,0.7234883904457092
44,0.7351759672164917
45,0.7159140110015869
46,0.6802719831466675
47,0.7096498608589172
48,0.7259944677352905
49,0.6390159726142883
50,0.5752460360527039
51,0.6333211064338684
52,0.567442774772644
53,0.6046687364578247
54,0.5262888073921204
55,0.5115814805030823
56,0.5599765181541443
57,0.4924229979515076
58,0.4729002416133881
59,0.5082411766052246
60,0.4450262188911438
61,0.4384694695472717
62,0.4707143306732178
63,0.5095357894897461
64,0.443669855594635
65,0.4010252952575684
66,0.3817703127861023
67,0.4513468146324158
68,0.4252823889255524
69,0.423558384180069
70,0.4187127649784088
71,0.4018171429634094
72,0.4172563552856445
73,0.376143217086792
74,0.3747951090335846
75,0.379362553358078
76,0.3426159024238586
77,0.3707137107849121
78,0.3855461478233337
79,0.3556288778781891
80,0.322808176279068
81,0.3322313725948334
82,0.3547895550727844
83,0.378988116979599
84,0.3533680438995361
85,0.3824065029621124
86,0.3816915154457092
87,0.3427534401416779
88,0.3609383702278137
89,0.3694707751274109
90,0.3442499041557312
91,0.3999295830726624
92,0.368856817483902
93,0.328996330499649
94,0.3972743451595306
95,0.3242004215717316
96,0.3923036158084869
97,0.3370602428913116
98,0.3880397379398346
99,0.3421277701854706
100,0.3841646909713745
101,0.3854559063911438
102,0.3864371180534363
103,0.3737133145332336
104,0.3810821175575256
105,0.3417006433010101
106,0.3977367877960205
107,0.405320793390274
108,0.3957216143608093
109,0.3861744999885559
110,0.3844460844993591
111,0.3920860886573792
112,0.4310971796512604
113,0.363715648651123
114,0.4010702669620514
115,0.4697502255439758
116,0.4305760264396667
117,0.3585909008979797
118,0.4554290175437927
119,0.4584664702415466
120,0.4240694940090179
121,0.3661330938339233
122,0.4083178043365479
123,0.4332694411277771
124,0.4129002690315247
125,0.4284864962100983
126,0.4206393361091614
127,0.4502899050712585
128,0.3721492886543274
129,0.4096321165561676
130,0.450217068195343
131,0.4392727017402649
132,0.4298723340034485
133,0.4220470786094666
134,0.4329614043235779
135,0.4016885757446289
136,0.4016810357570648
137,0.4626106321811676
138,0.3735414147377014
139,0.3938432931900024
140,0.4219578802585602
141,0.3922610878944397
142,0.3703831136226654
143,0.3938103318214417
144,0.4625582695007324
145,0.4656743109226227
146,0.4562969207763672
147,0.4500428140163422
148,0.4094132483005524
149,0.4719088673591614
150,0.4250313639640808
151,0.3890911936759949
152,0.4281511306762695
153,0.3500236570835114
154,0.4734579026699066
155,0.4468938410282135
156,0.4609549939632416
157,0.4672035276889801
158,0.4453263282775879
159,0.385949969291687
160,0.3796984851360321
161,0.5203237533569336
162,0.4234464168548584
163,0.3750085830688477
164,0.4765706062316895
165,0.453132301568985
166,0.4109438359737396
167,0.4796931743621826
168,0.4437552988529205
169,0.4421922564506531
170,0.4687543511390686
171,0.3421913087368011
172,0.4609410166740417
173,0.4390657544136047
174,0.5234404802322388
175,0.4343776106834412
176,0.4765649437904358
177,0.4125022292137146
178,0.4562520384788513
179,0.4781268537044525
180,0.3953140377998352
181,0.4015640616416931
182,0.4640639424324036
183,0.420313686132431
184,0.4656260907649994
185,0.439063549041748
186,0.4765634536743164
187,0.49062579870224
188,0.4468757510185242
189,0.353125661611557
190,0.5062506794929504
191,0.4078130722045898
192,0.4875004887580872
193,0.4859379231929779
194,0.4281253814697266
195,0.4718753695487976
196,0.3828128576278687
197,0.5421878099441528
198,0.4484378397464752
199,0.5000001788139343
200,0.3906251788139343
201,0.4796876311302185
