step,global_rag_train-ppo-2025-12-12-critic/rewards/mean_step
1,0.9993478655815125
2,1.018084049224854
3,1.021782159805298
4,1.033671379089355
5,1.013656973838806
6,1.008524298667908
7,0.9865238070487976
8,0.9331925511360168
9,0.965868353843689
10,0.9978278875350952
11,1.003566861152649
12,0.979729175567627
13,1.01276707649231
14,0.9472389221191406
15,0.9806934595108032
16,0.976513683795929
17,0.976860523223877
18,0.9982391595840454
19,0.9615481495857239
20,0.9639412760734558
21,0.9206692576408386
22,0.9968689680099487
23,0.930040180683136
24,1.015114903450012
25,0.9327840805053711
26,0.9715202450752258
27,0.980496883392334
28,0.9272747039794922
29,0.9391026496887207
30,0.919539749622345
31,0.923291027545929
32,0.9810771942138672
33,0.9376969337463379
34,0.9657966494560242
35,0.8947705030441284
36,0.9063064455986023
37,0.8815895318984985
38,0.854953944683075
39,0.8353492021560669
40,0.8728023767471313
41,0.8515695333480835
42,0.8302643895149231
43,0.8395336270332336
44,0.7936300039291382
45,0.7625607848167419
46,0.7399389147758484
47,0.6883810758590698
48,0.7238699793815613
49,0.5862968564033508
50,0.7117602229118347
51,0.689430296421051
52,0.6224117279052734
53,0.619208812713623
54,0.6246596574783325
55,0.5463112592697144
56,0.5739462375640869
57,0.5821874141693115
58,0.5183384418487549
59,0.4870113432407379
60,0.506657600402832
61,0.4856272339820862
62,0.4966441690921783
63,0.5051252841949463
64,0.4650774002075195
65,0.4571869969367981
66,0.4570725858211517
67,0.46720090508461
68,0.4525690674781799
69,0.4208512306213379
70,0.4037187993526459
71,0.4297018051147461
72,0.3925650715827942
73,0.4019596576690674
74,0.3741300702095032
75,0.4385042786598206
76,0.3815571665763855
77,0.3339926302433014
78,0.3825340867042542
79,0.4001080095767975
80,0.3080520331859589
81,0.3711103796958923
82,0.3968465030193329
83,0.3806979060173035
84,0.3657015860080719
85,0.3895764350891113
86,0.3555333018302917
87,0.4126597344875336
88,0.373030960559845
89,0.3721391558647156
90,0.4212760925292969
91,0.39361572265625
92,0.3762034773826599
93,0.386195957660675
94,0.3944506347179413
95,0.3618465960025787
96,0.3711244463920593
97,0.3893088698387146
98,0.3739843964576721
99,0.3891394734382629
100,0.3973447680473328
101,0.3510141968727112
102,0.3952140510082245
103,0.3698423802852631
104,0.3390775918960571
105,0.3537156581878662
106,0.4004327356815338
107,0.4174553453922272
108,0.4132334589958191
109,0.3491550385951996
110,0.3685128688812256
111,0.3863125443458557
112,0.3861781656742096
113,0.3853457570075989
114,0.4337031245231628
115,0.3835957646369934
116,0.4562171101570129
117,0.3874017298221588
118,0.3685832023620605
119,0.3981882035732269
120,0.4208114743232727
121,0.4223081171512604
122,0.3926012516021729
123,0.3362790942192078
124,0.4175217747688293
125,0.3627949059009552
126,0.3963521420955658
127,0.3728882670402527
128,0.41583251953125
129,0.4634775221347809
130,0.4196997582912445
131,0.3790561258792877
132,0.4235871732234955
133,0.422783374786377
134,0.3954291343688965
135,0.4071339070796967
136,0.4305625557899475
137,0.4117996692657471
138,0.4039827287197113
139,0.3805413246154785
140,0.3930296301841736
141,0.4211489260196686
142,0.4250479638576508
143,0.3680144846439362
144,0.4180122017860413
145,0.4125381112098694
146,0.4078447222709656
147,0.3812803328037262
148,0.3867459297180176
149,0.3461171686649323
150,0.3765844404697418
151,0.3883014023303986
152,0.3687674403190613
153,0.3312660753726959
154,0.3195458948612213
155,0.3336069583892822
156,0.3218867778778076
157,0.3234480321407318
158,0.3046970069408417
159,0.2828206419944763
160,0.3429760932922363
161,0.3070381879806519
162,0.2937560975551605
163,0.3375055193901062
164,0.3375046253204346
165,0.3531291484832764
166,0.340628445148468
167,0.3507841825485229
168,0.3343775272369385
169,0.3593774437904358
170,0.3125021159648895
171,0.2820329666137695
172,0.2757824957370758
173,0.175782173871994
174,0.161719411611557
175,0.1945319771766663
176,0.1523445546627045
177,0.1078132838010788
178,0.1148444414138794
179,0.1164067760109901
180,0.1492190659046173
181,0.1304689794778824
182,0.1164064630866051
183,0.119531437754631
184,0.1265626698732376
185,0.139062687754631
186,0.1179689392447472
187,0.1101563945412636
188,0.09453136473894119
189,0.1023438423871994
190,0.1203125715255737
191,0.1273438036441803
192,0.1101562976837158
193,0.1015625447034836
194,0.0781250149011612
195,0.09218751639127731
196,0.09843751043081284
197,0.1015625149011612
198,0.09140624850988388
199,0.08906251192092896
200,0.08671875298023224
201,0.09765625
202,0.1015625
203,0.08749999850988388
204,0.09921874850988388
205,0.078125
206,0.07500000298023224
207,0.06562499701976776
208,0.06484375149011612
209,0.08671875298023224
210,0.07500000298023224
211,0.05390625074505806
212,0.0390625
213,0.07109375298023224
214,0.0546875
215,0.05156249925494194
216,0.05937499925494194
217,0.05234374850988388
218,0.078125
219,0.05624999850988388
220,0.03750000149011612
221,0.02812499925494194
222,0.05156249925494194
223,0.05781250074505806
224,0.03281249850988388
225,0.05781250074505806
226,0.05781250074505806
